Date,BND__Close,BND__High,BND__Low,BND__Open,BND__Volume,DIA__Close,DIA__High,DIA__Low,DIA__Open,DIA__Volume,EEM__Close,EEM__High,EEM__Low,EEM__Open,EEM__Volume,EFA__Close,EFA__High,EFA__Low,EFA__Open,EFA__Volume,GLD__Close,GLD__High,GLD__Low,GLD__Open,GLD__Volume,HYG__Close,HYG__High,HYG__Low,HYG__Open,HYG__Volume,IWM__Close,IWM__High,IWM__Low,IWM__Open,IWM__Volume,LQD__Close,LQD__High,LQD__Low,LQD__Open,LQD__Volume,QQQ__Close,QQQ__High,QQQ__Low,QQQ__Open,QQQ__Volume,SLV__Close,SLV__High,SLV__Low,SLV__Open,SLV__Volume,SPY__Close,SPY__High,SPY__Low,SPY__Open,SPY__Volume,TLT__Close,TLT__High,TLT__Low,TLT__Open,TLT__Volume,VNQ__Close,VNQ__High,VNQ__Low,VNQ__Open,VNQ__Volume,VTI__Close,VTI__High,VTI__Low,VTI__Open,VTI__Volume,XLE__Close,XLE__High,XLE__Low,XLE__Open,XLE__Volume,XLF__Close,XLF__High,XLF__Low,XLF__Open,XLF__Volume,XLK__Close,XLK__High,XLK__Low,XLK__Open,XLK__Volume,XLP__Close,XLP__High,XLP__Low,XLP__Open,XLP__Volume,XLV__Close,XLV__High,XLV__Low,XLV__Open,XLV__Volume,XLY__Close,XLY__High,XLY__Low,XLY__Open,XLY__Volume
2015-01-02,59.800392150878906,59.829334321366105,59.63397605061615,59.641212973276595,2218800,141.716064453125,142.74344879151678,140.95149003775353,142.2815201878025,4997200,30.35505485534668,30.699552722056243,30.276757849236283,30.683893320834166,65010000,43.78062057495117,44.178100059706104,43.69389567304853,44.120283458437676,24674800,114.08000183105469,114.80000305175781,112.31999969482422,112.48999786376953,7109600,49.30317306518555,49.48475942305827,49.24264427922797,49.35269852557821,3271900,102.78701782226562,104.19576713957328,101.88818159620678,103.77227921367643,46133100,81.02702331542969,81.304255707939,80.8376928700345,80.87149893021638,2523600,94.66506958007812,95.82377819510884,94.20526256951408,95.41915279675924,31314600,15.109999656677246,15.390000343322754,14.890000343322754,14.960000038146973,8759900,170.125,171.3258145622169,169.08982374735015,170.91174406115695,121465900,93.71208190917969,93.96233701213323,92.85092133342884,92.95396590067213,9432000,52.54988098144531,52.594620407097665,51.98743691469379,52.21752678268638,5570500,87.81742095947266,88.48069707332814,87.2785099076488,88.29000313481701,5298300,25.54806137084961,25.6315839489324,25.178637128291047,25.29107240491671,55498200,16.274784088134766,16.386661351129842,16.14974652116575,16.360337652820576,40511471,18.08427619934082,18.27708106012291,17.992255811575166,18.233262305447365,16990400,35.865386962890625,36.147266710240764,35.64285151169496,36.065669717874265,7612100,57.05782699584961,57.6564239174841,56.82504071364741,57.12433917446466,7516800,31.636646270751953,32.08714907125238,31.420230108754108,32.03414775070642,12371000
2015-01-05,59.97406768798828,59.995772945960965,59.83659369395174,59.8655358779677,5820100,139.24720764160156,141.1347467279018,138.9445738324828,141.01527546028558,6700200,29.8148193359375,30.15931720706656,29.76784113166859,30.15931720706656,83166600,42.747188568115234,43.20248207098133,42.63878377780521,43.166348059827435,28468200,115.80000305175781,116.0,114.7300033569336,114.77999877929688,8177400,48.84644317626953,49.105065332268516,48.78041484581125,49.02802948130784,7523100,101.4128189086914,102.59686394686796,100.9374772697832,102.18202057450503,51141900,81.35840606689453,81.60183256220371,81.20288157755266,81.27050406092724,3218800,93.2764663696289,94.36161138048092,93.00977741603567,94.25125515330805,36521300,15.5,15.569999694824219,15.229999542236328,15.34000015258789,9535900,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600,95.18421936035156,95.41238881555724,94.18320393124375,94.220002376803,9789500,52.83746337890625,52.971681586009055,52.249458411723744,52.409242688212196,6073700,86.30845642089844,87.51064334437062,86.10947615701869,87.34482118658038,5383500,24.491186141967773,25.20112187738205,24.365903509297702,25.19148512884614,90790400,15.93257999420166,16.202401112040093,15.893094429205219,16.16949647454306,50770502,17.808216094970703,18.01854915850438,17.755633246981933,18.01854915850438,14389400,35.61318588256836,35.88022960476191,35.51675562820359,35.79863259745918,8272700,56.766841888427734,57.26567052232715,56.658764359683765,56.80009797641439,10784800,31.03156280517578,31.59247910738801,30.965311999174407,31.517396433092568,17165800
2015-01-06,60.14772415161133,60.32860868829744,60.075371440968475,60.075371440968475,3887600,138.09234619140625,139.80465775786246,137.24017642820482,139.454240418018,10131400,29.68954086303711,29.955744684533173,29.532952839460094,29.82264426714769,52066100,42.26297378540039,42.86280870165007,42.125663473452384,42.71104148051549,21711600,117.12000274658203,117.5,115.80000305175781,116.22000122070312,11238300,48.65937042236328,48.95100682218469,48.60984496303391,48.75291338114748,9489700,99.6583480834961,101.7844381904782,98.83729935788085,101.65480377661358,67446000,81.68972778320312,81.93315425829384,81.45982786721231,81.58154110475766,5313400,92.02576446533203,93.5707161277411,91.61194100879818,93.4143834455925,66205500,15.829999923706055,16.010000228881836,15.539999961853027,15.59000015258789,9969900,165.47915649414062,167.88076056900059,164.6841354981615,167.35902764550087,209151400,96.89910888671875,97.51738749626257,95.82450290465898,96.19987712069108,18331300,53.361568450927734,53.52774550380643,52.88860824405949,52.88860824405949,7577100,85.46282958984375,86.64013905215211,84.99024726621452,86.55723109327312,4226100,24.13140869140625,24.648602265704604,23.961150427434358,24.449433747060667,83753200,15.689078330993652,15.98522150415861,15.616688155264194,15.932574103628095,57454463,17.593503952026367,17.860801103388862,17.510245955096508,17.860801103388862,17491200,35.56867599487305,35.95440545274778,35.464826300385994,35.86538900345149,11112400,56.57565689086914,57.44029025878106,56.22647095591808,56.95809258824075,13344500,30.72239875793457,31.16848400038301,30.51481443611233,31.15965213057754,14346000
2015-01-07,60.183876037597656,60.25622871550547,60.089818108333034,60.154933862403425,2433400,139.84442138671875,140.00370413681472,138.76925370919992,139.25507399611422,5547000,30.331565856933594,30.3550534643277,30.096677836091533,30.198462446008076,64948700,42.73272705078125,42.80499506063954,42.32801902777038,42.60264242755804,19048900,116.43000030517578,116.87999725341797,116.16999816894531,116.47000122070312,6434200,48.961978912353516,49.12705386166132,48.901450171499526,49.03901472832458,8353100,100.88558959960938,100.9115164774437,99.8052590644178,100.30652742144783,32252100,81.79789733886719,81.85199324278963,81.48685362961717,81.57475560433913,1636600,93.21207427978516,93.43277967214868,92.41200758533272,92.63271999379417,37577400,15.850000381469727,15.949999809265137,15.680000305175781,15.699999809265137,8129300,167.5411834716797,167.88072427345165,166.35694805006224,166.80413857607297,125346700,96.70771789550781,97.1346198950289,95.80975355703451,96.19985153002563,9762900,54.179656982421875,54.25635520000161,53.284868825140386,53.56608587047325,6920700,86.48258972167969,86.59866210265592,85.85248431794308,86.30018845858264,3661500,24.18280029296875,24.529737979206054,24.02218126610169,24.423728833269347,62384800,15.853602409362793,15.893087958282562,15.72856329260277,15.820696240082233,36287049,17.74248504638672,17.786303800602738,17.615408318950603,17.72933808285925,13069200,36.17694854736328,36.22145678139949,35.791219008127094,35.828307788311,9226100,57.90584945678711,57.92247433227421,56.83336421375536,56.95807298023837,14146400,31.208240509033203,31.2391571124639,30.921155837372687,31.2391571124639,14822000
2015-01-08,60.08980178833008,60.13321227925367,60.03191745366264,60.13321227925367,1873400,142.369140625,142.52843558418877,141.13468975878138,141.17450134607938,7166700,30.84831428527832,30.989245903818016,30.738698481183352,30.777848476008476,55081600,43.310882568359375,43.462647054272,42.97121683211374,42.99289944213559,16680000,115.94000244140625,116.87000274658203,115.8499984741211,116.44999694824219,7033700,49.33067321777344,49.429719911388524,48.96200104637133,49.14358315288315,8388600,102.59683990478516,102.71783640952194,101.5078647683391,101.68936611925925,28361700,81.53418731689453,81.59504134044721,81.3921894364022,81.5815199437253,2156900,94.9961166381836,95.18003660779847,93.9017738755129,94.00293196363022,40212600,15.640000343322754,15.949999809265137,15.609999656677246,15.84000015258789,5063800,170.5142059326172,170.72953065352303,168.93246642029644,168.94902014003745,147217800,95.42707061767578,95.95701747897458,95.25778546868335,95.94966116154673,8055300,54.384178161621094,54.5567479241065,53.94956957753519,54.55035518721421,5255000,88.00811004638672,88.08272528421051,87.14585367609585,87.2287616043899,2796200,24.725692749023438,24.783515695235234,24.27917206194135,24.378755071752643,56373800,16.09052276611328,16.13000987375543,16.004970714114734,16.03787534949879,37995923,18.132484436035156,18.17192199823711,17.86080270905327,17.887094974380894,28423400,36.72587203979492,36.77038027716926,36.42173949196885,36.49591988759274,12904100,58.89520263671875,58.96171483738009,58.37974893897479,58.47951089701424,22138400,31.67639923095703,31.72056531482252,31.32306382072074,31.468814930167426,12798200
2015-01-09,60.19112014770508,60.263472834251154,60.05364617915825,60.060883103859695,1646100,141.142578125,142.60799864797482,140.67268982999605,142.54428312708552,6646600,30.746532440185547,30.9579298870082,30.652579014950657,30.942270485014795,38550100,43.10129928588867,43.36146853821362,42.88449249456719,43.36146853821362,17938200,117.26000213623047,117.33999633789062,116.5,116.51000213623047,7962900,49.57829284667969,49.600303691715595,49.17660646965769,49.36919611604765,6766700,101.61157989501953,102.70919293999967,101.3868692723519,102.68326605927167,26975200,81.75057220458984,81.83171090904003,81.40571723406711,81.42600191017966,1530400,94.37080383300781,95.31800525717168,93.81902974629969,95.29041795605607,41410100,15.770000457763672,15.920000076293945,15.680000305175781,15.710000038146973,4402100,169.14781188964844,170.94487647756347,168.53498295474012,170.92831011812547,158567300,96.47222900390625,96.50166549770975,94.97806582224918,95.09583425949582,9398800,54.409751892089844,54.65901502745293,54.045443857618395,54.3841858171513,4643900,87.27849578857422,88.17391649978565,86.98831490775629,88.14904475649679,3272500,24.529735565185547,24.783513896762894,24.308080545649922,24.741751385342205,49904200,15.873344421386719,16.130003567398756,15.866763496882855,16.123421097714214,36300590,18.075515747070312,18.228883090838224,17.944057785043718,18.185064327355587,18339800,36.42914962768555,36.844548418147994,36.42914962768555,36.844548418147994,6382800,58.37143325805664,59.01160208848626,58.1719029992648,58.9450898879048,9724300,31.309839248657227,31.698505813490065,31.274505005583638,31.672006816014314,11258400
2015-01-12,60.27071762084961,60.292422877629114,60.19835940470877,60.23453851277919,4397900,140.36212158203125,141.4691532277852,139.7409102788022,141.31783034449933,4305300,30.495981216430664,30.691719217836862,30.4568342134944,30.652572214900598,55381800,43.00012969970703,43.18802821311264,42.790548573980814,43.151894201709446,18561200,118.55999755859375,118.70999908447266,117.31999969482422,117.45999908447266,8318200,49.51774978637695,49.61679646139365,49.32516019554956,49.61679646139365,8698500,101.2745132446289,101.99185435414672,100.45346461630884,101.72392787833978,27316800,81.90605926513672,81.94663376026612,81.73025536875782,81.77758798068565,1948000,93.38678741455078,94.65585197648805,93.1476858538043,94.55469389371441,34129800,15.869999885559082,15.9399995803833,15.760000228881836,15.819999694824219,5517200,167.82276916503906,169.43765422966325,167.21822977118725,169.28030541730055,144396100,97.02420806884766,97.38485828740495,96.3617693592947,96.42065354887791,6658100,54.82520294189453,54.88272784096431,54.44172149427699,54.54398093806712,5131800,86.65667724609375,87.51064716367985,86.32504556697664,87.51064716367985,3705900,23.823013305664062,24.218134707175597,23.694517604440577,24.218134707175597,57881200,15.741732597351074,15.91283826888456,15.695666101794766,15.873352701264865,38356360,17.86517906188965,18.110568433889103,17.803832136784372,18.066748007686517,11257400,36.31789016723633,36.6071866391195,36.22145989640379,36.414323267761645,6256400,58.39636993408203,59.028223112438965,58.23841139670691,58.82037725640925,11972100,31.141986846923828,31.41140438214785,31.01390282446841,31.371652541551537,12056600
2015-01-13,60.328556060791016,60.393677307671766,60.22002984957837,60.27790865550739,2223400,140.15509033203125,142.5841928641959,139.135665687795,141.54087640427443,9913500,30.762184143066406,31.04404733495232,30.51163974732888,30.88745634093517,55565600,43.216922760009766,43.643310575195265,42.913393852681516,43.53490857551267,15396200,118.16000366210938,119.19000244140625,117.87000274658203,118.95999908447266,7693200,49.51774978637695,49.649814818491365,49.27013519790433,49.523253545582946,7738700,101.35232543945312,103.18456910326175,100.09914417577697,102.06102227844967,49991400,81.98045349121094,82.00750143951824,81.75731694569592,81.90607292308306,1468300,93.35920715332031,95.29040210332273,92.60512397851573,94.2972173317954,56162300,16.290000915527344,16.469999313354492,16.18000030517578,16.360000610351562,15538500,167.3507537841797,170.16642844907784,166.0505662011731,169.04015605583254,214553300,97.02420806884766,97.60567119058928,96.52369807289581,96.70770695371428,8260800,54.74210739135742,55.176720923977626,54.45449269810901,55.016936608694174,5859600,86.45767974853516,87.88371845631623,85.75295308261103,87.32822854644984,2936200,23.633480072021484,24.105700334349127,23.411825062965285,23.919381702123673,68102800,15.689078330993652,15.952316878827038,15.577201059685498,15.847022077766008,45785445,17.852031707763672,18.237641384335333,17.724954993822077,18.014163087039897,23358400,36.31045913696289,36.76294947180396,36.095340317170965,36.56266672541406,10135000,58.13864517211914,59.269327176609885,57.648125636091116,58.945088137096604,14219800,31.141986846923828,31.663154807068707,30.899068292326184,31.486487073693763,15103200
2015-01-14,60.466041564941406,60.574573317145784,60.45157324071946,60.51668897994955,2481200,138.6258544921875,139.15149836735236,137.319716838818,138.13207445020993,11090600,30.58993148803711,30.66039728079577,30.347215315929592,30.42551230050842,83761000,43.09406661987305,43.180788771010505,42.79776340970989,43.00734171188812,16051900,117.97000122070312,119.31999969482422,117.9000015258789,119.08000183105469,7727400,49.40220260620117,49.43521676955411,49.16559130651467,49.253634672974194,7415500,100.94611358642578,101.20538902469673,99.86578277575691,100.23741683837964,34224200,82.12248229980469,82.37267204678353,82.05486498298815,82.29829145062416,2457000,92.84420776367188,93.3224108653772,92.02575204862255,92.42118626053038,51354200,16.1299991607666,16.360000610351562,16.1200008392334,16.229999542236328,7356600,166.34039306640625,166.53915144512624,164.44395583561231,165.33833694878177,192991100,97.7602767944336,98.71711431485161,97.67194486455323,98.422704497956,12324500,55.21507263183594,55.24063870975915,54.42254372113936,54.71015356437168,6249100,85.9851303100586,86.05145918797785,84.9819297520421,85.42964018979218,3291600,23.707374572753906,23.742710962523525,23.032772550499267,23.40862301888046,104305000,15.465326309204102,15.524554638537412,15.261314528916445,15.43900106209728,71356023,17.75124740600586,17.830122500617588,17.58911601000545,17.707428651923042,17661400,36.19919967651367,36.2362884550859,35.946992020653155,36.0360084848574,13315500,58.04718017578125,58.196829419434984,57.42364271771588,57.5816075701701,12548000,30.766571044921875,30.885819831371645,30.413235566396065,30.722401582863508,20350000
2015-01-15,60.73378372192383,60.74825205358736,60.451604333149994,60.451604333149994,4214500,137.82948303222656,139.4382669714608,137.63037653018011,139.16748504527678,9293700,30.660404205322266,31.106686664676662,30.613426003965134,30.997073848235264,57441600,43.368690490722656,43.65776802541464,43.26028848284892,43.614405568156535,21885100,120.94000244140625,121.69999694824219,120.33999633789062,120.41000366210938,17692500,49.09957504272461,49.512268978583144,49.08856752014342,49.512268978583144,7061300,99.24349212646484,101.44736260096127,98.94100087629648,101.31772820361391,46199400,82.54849243164062,82.67696380341457,82.12249347586804,82.17658940023144,2171300,91.6395263671875,93.4235725589117,91.52917017359844,93.27643798355687,51005400,16.149999618530273,16.479999542236328,16.110000610351562,16.329999923706055,10896800,164.81658935546875,167.2927223172649,164.7006501462518,166.97803739877665,176613900,99.29859161376953,99.3869123150801,97.6572237076488,97.78235967585866,11454200,55.34290313720703,55.48351414035258,54.99138050557436,55.330122535207984,5004100,85.11458587646484,86.441131782074,85.03996430886848,86.26702322497559,5615200,23.40540313720703,24.04787919927508,23.38612963961753,23.98684318910608,82692000,15.27448558807373,15.491659350247131,15.248161870278613,15.41268665167994,58038203,17.523393630981445,17.869565913655634,17.510246663178417,17.825747145189194,18655400,36.258544921875,36.48108042874477,36.11760359809323,36.43657219549382,10898400,57.423641204833984,58.371417608687175,57.3903851134592,58.263340068932294,16382800,30.369060516357422,30.960893393216153,30.360225278689043,30.837227023105722,16102400
