Date,AAPL__Close,AAPL__High,AAPL__Low,AAPL__Open,AAPL__Volume,AMD__Close,AMD__High,AMD__Low,AMD__Open,AMD__Volume,AMZN__Close,AMZN__High,AMZN__Low,AMZN__Open,AMZN__Volume,BAC__Close,BAC__High,BAC__Low,BAC__Open,BAC__Volume,COST__Close,COST__High,COST__Low,COST__Open,COST__Volume,CRM__Close,CRM__High,CRM__Low,CRM__Open,CRM__Volume,DIS__Close,DIS__High,DIS__Low,DIS__Open,DIS__Volume,GOOGL__Close,GOOGL__High,GOOGL__Low,GOOGL__Open,GOOGL__Volume,HD__Close,HD__High,HD__Low,HD__Open,HD__Volume,JNJ__Close,JNJ__High,JNJ__Low,JNJ__Open,JNJ__Volume,JPM__Close,JPM__High,JPM__Low,JPM__Open,JPM__Volume,KO__Close,KO__High,KO__Low,KO__Open,KO__Volume,MA__Close,MA__High,MA__Low,MA__Open,MA__Volume,META__Close,META__High,META__Low,META__Open,META__Volume,MSFT__Close,MSFT__High,MSFT__Low,MSFT__Open,MSFT__Volume,NFLX__Close,NFLX__High,NFLX__Low,NFLX__Open,NFLX__Volume,NVDA__Close,NVDA__High,NVDA__Low,NVDA__Open,NVDA__Volume,ORCL__Close,ORCL__High,ORCL__Low,ORCL__Open,ORCL__Volume,PFE__Close,PFE__High,PFE__Low,PFE__Open,PFE__Volume,PG__Close,PG__High,PG__Low,PG__Open,PG__Volume,SPY__Close,SPY__High,SPY__Low,SPY__Open,SPY__Volume,TSLA__Close,TSLA__High,TSLA__Low,TSLA__Open,TSLA__Volume,UNH__Close,UNH__High,UNH__Low,UNH__Open,UNH__Volume,V__Close,V__High,V__Low,V__Open,V__Volume,WMT__Close,WMT__High,WMT__Low,WMT__Open,WMT__Volume,XOM__Close,XOM__High,XOM__Low,XOM__Open,XOM__Volume
2015-01-02,24.214895248413086,24.68222757163672,23.776355295274307,24.67115267325441,212818400,2.6700000762939453,2.6700000762939453,2.6700000762939453,2.6700000762939453,0,15.425999641418457,15.737500190734863,15.347999572753906,15.628999710083008,55664000,14.123801231384277,14.226377169096951,13.950213150988832,14.194814879039875,48951100,113.98031616210938,115.21983964833491,113.33640259402101,114.18958285204543,1471000,58.38284683227539,59.55562714262812,57.663406032691604,59.033297016425074,2796400,85.36595916748047,86.75913050955782,84.54644457005274,86.4222239701872,5865400,26.26045799255371,26.570396349230737,26.17764066273826,26.411706170235586,26480000,79.37126922607422,81.08255411726617,78.78805029550131,80.69885853091847,4323700,76.54862213134766,77.30298085603305,76.2629933821275,76.93678957881383,5753600,46.274314880371094,46.62235148421659,45.963300261721244,46.04475653862506,12600000,29.580005645751953,29.762513115353247,29.341343885458315,29.664238420646285,9921100,79.84831237792969,81.41396584063853,79.14003871119911,80.78024879358708,4505800,77.83916473388672,78.31543065901892,77.09500443023583,77.96815736464652,18177500,39.767677307128906,40.32898316463045,39.580577517469216,39.68263224312552,27913900,4.984857082366943,5.033143043518066,4.873143196105957,4.915143013000488,134750000,0.4829852879047394,0.4865843092383493,0.47530741386270736,0.4829852879047394,113680000,37.35356140136719,38.07821607731055,37.050215938974794,37.93497139471344,15070200,18.381011962890625,18.645022523191003,18.3164759695205,18.34581126252088,16371571,65.5557632446289,65.96167950267552,65.1788362648477,65.84570026883692,7251400,170.1249542236328,171.32576846274065,169.0897782495229,170.91169807309672,121465900,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000,83.8287582397461,85.35927272279854,83.18827537391091,84.42765493545674,3060900,61.21474838256836,61.614349135784344,60.630365146951846,60.83594217894731,8389600,23.171682357788086,23.392879807605123,23.07726911331152,23.271490247897844,13505400,57.533424377441406,57.66977494670353,56.90125441604142,57.17395555456566,10220400
2015-01-05,23.532724380493164,24.064287433869833,23.34667824119713,23.984552891373717,257142000,2.6600000858306885,2.700000047683716,2.640000104904175,2.6700000762939453,8878200,15.10949993133545,15.418999671936035,15.042499542236328,15.350500106811523,55484000,13.713499069213867,14.052786127299642,13.642486933890783,14.037006488879328,105605500,112.6844711303711,114.42303448968866,112.5234957707971,114.0447356397918,1748500,57.32832717895508,58.38284863687779,57.00310395657849,57.752105741068355,3688200,84.11845397949219,85.00170798977251,83.57211336968822,84.93796836774702,7789400,25.760093688964844,26.183097900780766,25.675295730032687,26.14144236480419,41182000,77.7060317993164,78.87246380592518,77.34535701133309,78.87246380592518,5878100,76.01399230957031,76.70243375596925,75.93342977487956,76.51933810215131,8079300,44.83771896362305,46.11879632546241,44.60075684032394,45.95588663120135,20100600,29.580005645751953,30.16262214324087,29.537890597160605,29.96607543153858,26292600,77.60235595703125,79.54078575157865,77.39733588174322,79.48487183196482,6441400,76.5889663696289,78.63292386083921,76.26153408123444,77.37281598276019,26452200,39.4019889831543,39.74217255290114,39.333950322647794,39.43600506914566,39673900,4.731142997741699,4.925857067108154,4.714714050292969,4.925857067108154,181650000,0.4748275876045227,0.48442493083859783,0.47266820325326436,0.4829853222029231,197952000,36.8297119140625,37.38735367039248,36.82126421274562,37.311311466207336,18369400,18.281272888183594,18.427945805194057,18.193269373867402,18.392745107137838,24786391,65.24406433105469,65.9616677393251,65.12808511789937,65.40353298404662,8626100,167.05262756347656,169.24719647462058,166.74621939305322,169.08157077807908,169632600,14.005999565124512,14.433333396911621,13.810667037963867,14.303333282470703,80527500,82.44801330566406,83.55430241579742,82.1402450396429,83.42953750023614,4679000,59.86351776123047,60.863665211340425,59.794219036333324,60.861353139143674,12751200,23.10424041748047,23.284974139092753,23.0664748166513,23.12312398966112,20937000,55.959190368652344,57.26690910423085,55.46957013191357,57.08097569284238,18502400
2015-01-06,23.534940719604492,23.794077149066176,23.173919944915667,23.596956102061053,263188400,2.630000114440918,2.6600000858306885,2.549999952316284,2.6500000953674316,13912500,14.76449966430664,15.149999618530273,14.619000434875488,15.112000465393066,70380000,13.30319881439209,13.76084140146629,13.240075750829185,13.745060259332426,144912400,114.17347717285156,115.050802986372,112.56369962952833,113.17541067460509,3185200,56.37236022949219,57.70282525182357,55.73176373162805,57.338179923247814,3174900,83.67228698730469,84.85603091105646,83.00757469630607,84.29147494098893,6793100,25.124347686767578,25.846874452934344,25.070293862462776,25.81166587947732,54456000,77.46812438964844,78.3276044759475,77.0000153793559,78.3276044759475,4910100,75.64047241210938,76.89284596073992,75.39146501551373,76.41679616342013,7428000,43.67512130737305,44.985819600132025,43.20860090575786,44.90436334312495,29074100,29.80463981628418,30.141573725299892,29.650213448222402,29.76954303616617,16897500,77.4345932006836,78.07763160136537,76.23240148392026,77.96580378219328,7690000,75.55706787109375,76.98585032106149,74.77321821125572,76.62866038606137,27399300,38.823673248291016,39.75918211807027,38.730121712460715,39.44451142467352,36447900,4.650143146514893,4.763999938964844,4.566143035888672,4.734714031219482,160377000,0.46043160557746887,0.47602724151277415,0.45995174557683316,0.47554738151213843,197764000,36.44950485229492,37.328214146528275,36.322769980275886,37.226825604296316,19229500,18.433815002441406,18.69195779954972,18.257807960142298,18.345811481291854,29468681,64.94688415527344,65.64274297659276,64.7004365755162,65.46152956905561,7791200,165.47915649414062,167.88076056900059,164.6841354981615,167.35902764550087,209151400,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500,82.28160858154297,83.29640503088635,81.89898155650195,83.03854920547599,3468300,59.47776412963867,60.23538352280575,58.867972824784694,60.00671398629778,11070000,23.28228187561035,23.400973344777068,23.142010279643547,23.193263273735315,24615300,55.66172409057617,56.653363114049256,55.17210362306979,55.92822625064964,16670700
2015-01-07,23.864946365356445,23.96461367890052,23.632387047364233,23.74312925787633,160423600,2.5799999237060547,2.6500000953674316,2.5399999618530273,2.630000114440918,12377600,14.920999526977539,15.064000129699707,14.766500473022461,14.875,52806000,13.36632251739502,13.55569171714309,13.311090022256742,13.524129431365434,104603800,116.16159057617188,116.25011657900721,114.5840026752005,114.77718046357411,2171600,56.106266021728516,57.11150784008084,55.78103906895211,56.95382307011389,4284300,84.52822875976562,84.81961093011594,83.86350949300765,84.42806548741719,6589500,25.050458908081055,25.364859835605216,24.976074833139705,25.33808262798601,46918000,80.12330627441406,80.16934786616116,78.27389094284727,78.49643506084054,5091000,77.310302734375,77.50804915845902,76.028633229693,76.10187595721187,7931700,43.74176788330078,44.34898366966756,43.44556382052178,44.34898366966756,23843200,30.176671981811523,30.260904786284016,29.888874111960657,30.04330047387479,13412300,78.6391372680664,78.69515907022286,77.5653409424752,78.5270865399231,5846800,75.55706787109375,76.7576454300895,75.2296355631888,76.16231877843718,22045300,39.31694793701172,39.51255425579138,38.687606432114116,39.10433194995611,29114100,4.674285888671875,4.742143154144287,4.627142906188965,4.734714031219482,98497000,0.4592318534851074,0.4678694462543459,0.4577922451561518,0.46379056552305414,321808000,36.457950592041016,36.77056709959021,36.33966021599777,36.61003499529915,13502200,18.68609046936035,18.697824822123764,18.52768437348237,18.60982130447483,20248816,65.28754425048828,65.50500247834754,64.91786747520455,65.19331530118525,5986600,167.54124450683594,167.88078543230242,166.3570086538022,166.8041993427242,125346700,14.063332557678223,14.3186674118042,13.985333442687988,14.223333358764648,44526000,83.12174987792969,83.42951807228188,82.2816303473829,82.31490309916113,3225800,60.2746467590332,60.31853382361793,59.46621122047019,59.69488073141278,9346800,23.900009155273438,23.92158927877146,23.379388097059145,23.409060959810446,25495200,56.22572708129883,56.69675521311004,55.77949040152884,56.18234322234819,13590700
2015-01-08,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000,2.609999895095825,2.6500000953674316,2.559999942779541,2.5899999141693115,11136600,15.02299976348877,15.156999588012695,14.805500030517578,15.015999794006348,61768000,13.642485618591309,13.681936968297512,13.492567780757195,13.539909701399143,73388500,117.15962982177734,117.59427671848519,116.66060261897901,117.15962982177734,2937700,57.74224853515625,57.929498029885664,56.34279287298925,56.50048140686864,3756600,85.40235900878906,85.86675164242207,85.19292485727689,85.47520627428004,7579400,25.137737274169922,25.166994516697418,24.54810906238955,24.8699500804736,73054000,81.8959732055664,82.10316621150004,80.59140491708266,80.85999646644012,6464600,77.91815948486328,77.99139660394883,77.449435217555,77.67647196301039,9916000,44.7192497253418,45.096910151257575,44.408237915587236,44.408237915587236,16971100,30.54167366027832,30.58379139029248,30.253875866127927,30.310032839480137,21743600,79.86231994628906,79.9463597654677,79.39545264191572,79.54485359875346,5174200,77.57125091552734,77.62086461799993,75.4876041014778,76.1424610681845,23961000,40.473575592041016,40.60964968109724,39.73367293556417,39.759185813430285,29645200,4.7779998779296875,4.783570766448975,4.647857189178467,4.711999893188477,96019000,0.47650712728500366,0.4793863446490448,0.46427053929459305,0.4645104836090147,283780000,36.67762756347656,37.125429864892766,36.65228123640268,36.86350922357384,17516900,19.06744384765625,19.149580795946378,18.90316995107599,18.973572544131507,49169522,66.03414916992188,66.12838365914524,65.33104042814607,65.58474356356928,6823300,170.51426696777344,170.72959176575426,168.9325268892728,168.94908061493913,147217800,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994629,51637500,87.08941650390625,87.32232572511992,83.77885761467569,84.4858860129383,5346100,61.08308029174805,61.23783399946629,60.662692133740364,60.79435332317105,10443200,24.404441833496094,24.4583913606487,24.026788969300227,24.064554564426196,38140800,57.161556243896484,57.186342955285966,56.39923483536912,56.55417778821354,15487500
2015-01-09,24.8084716796875,25.08311190198466,24.409799026520567,24.9546505259873,214798000,2.630000114440918,2.640000104904175,2.5799999237060547,2.630000114440918,8907600,14.846500396728516,15.143500328063965,14.833999633789062,15.074000358581543,51848000,13.397886276245117,13.713501679312685,13.374216061623146,13.713501679312685,84144600,115.35668182373047,116.74913616715425,115.2761880219294,116.29034360382184,1727000,57.3184700012207,58.63908139649666,56.93411359862946,58.30400078099375,6875300,85.82122802734375,86.750006430439,85.5844778669084,85.63911679445393,8621300,24.83077049255371,25.221541736159896,24.72812044660414,25.200713971275817,42000000,80.49164581298828,82.01875234508107,80.43792867431353,82.01875234508107,5717600,76.8562240600586,77.99873901247982,76.71706959208696,77.99873901247982,7364800,43.94172286987305,45.01545949815668,43.9046980533417,44.963624190050304,15396200,30.204748153686523,30.576781510101487,30.14859384261476,30.51360623657537,12733500,78.84452819824219,80.30115145666858,78.80717797061234,80.27314056690308,4582200,77.13468170166016,78.0078344981215,76.59888545928311,77.59109904072454,21157000,40.13338851928711,40.669181661267075,39.88675646470398,40.490585028694476,23944200,4.704143047332764,4.802000045776367,4.689857006072998,4.763143062591553,95781000,0.47842657566070557,0.4820255972128002,0.47170844976721804,0.4781866599587349,209540000,36.660736083984375,37.26062291094599,36.550896606781116,37.15923435980356,15957500,19.15544891357422,19.184783034827262,19.020509125128246,19.055711014192557,26083022,65.41803741455078,66.09215148390848,65.32380843739969,66.09215148390848,4872800,169.1477813720703,170.9448456357597,168.53495254772835,170.92827927931057,158567300,13.77733325958252,13.998666763305664,13.663999557495117,13.928000450134277,70024500,86.27425384521484,87.03118816647003,85.59217844035896,86.85651101541114,3397600,60.177642822265625,61.087710993872435,60.002094530585175,60.88906312976037,10523600,24.102323532104492,24.382865143702293,24.07534876302622,24.363983114053948,25567500,57.08097839355469,57.50242338129001,56.62854765477728,57.2049355831729,14488400
2015-01-12,24.197172164916992,24.9457888739138,24.097504854799798,24.93914461187825,198603200,2.630000114440918,2.640000104904175,2.549999952316284,2.619999885559082,9979600,14.570500373840332,14.92549991607666,14.46399974822998,14.878000259399414,68428000,13.161173820495605,13.437337835692503,13.145392675633426,13.429447263261414,92762500,114.71275329589844,116.03277041455158,114.39079041230731,115.56593344456559,1344800,56.89469528198242,57.7521060652446,56.68773470662635,57.60427869406247,2724500,86.012451171875,86.28562498185627,85.38415557717724,86.22188535247378,6586200,24.649276733398438,24.80895629523444,24.34429652631825,24.757382501912144,57138000,80.13095092773438,80.79858307306888,79.85468975412888,80.70649406362455,4992900,76.59258270263672,77.50073566944666,76.38751644441865,77.02468580564816,6839000,43.56406021118164,43.9861492856812,43.14937496921185,43.897286346451324,15455200,29.93098258972168,30.324073386957075,29.80463207195716,30.232819640191146,11415800,77.83610534667969,79.22736770082476,77.41592768817912,78.81652938161913,4030100,76.12263488769531,77.3926671893478,75.6166037903217,77.23390936664643,19190200,39.631614685058594,40.43105279193998,39.42750517489556,40.32899479259629,23651900,4.554714202880859,4.719857215881348,4.526429176330566,4.709000110626221,129444000,0.47242820262908936,0.4798661320229877,0.46810940583915644,0.4796261877448941,190732000,36.559326171875,36.98178198173293,36.21291253671478,36.55087525075189,16055700,19.225852966308594,19.290388981506826,19.13198282763877,19.1671835399145,24867865,65.17879486083984,65.68619539127256,64.8816079407526,65.58471639122418,5250900,167.82276916503906,169.43765422966325,167.21822977118725,169.28030541730055,144396100,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500,85.3010482788086,86.50715511455103,84.76869706271691,86.36575071099197,3051500,60.05982971191406,60.51717579179692,59.85657183652031,60.29543544200461,6425600,24.283058166503906,24.361285925859935,24.067256918786484,24.105022523020104,22117500,55.98399353027344,56.60995970751396,55.66790855610778,56.547983466898984,15176300
2015-01-13,24.412012100219727,24.98344228730691,24.121868061955624,24.68000803529737,268367600,2.6600000858306885,2.680000066757202,2.5999999046325684,2.640000104904175,17907400,14.737000465393066,15.074999809265137,14.661499977111816,14.87399959564209,82728000,12.979694366455078,13.32687050210664,12.877118436170019,13.271638003479016,100845400,113.56175994873047,116.23399670942918,112.99834023461588,114.455187024551,2198500,57.131221771240234,58.67850482897715,56.47091417923376,57.54514290334744,3509100,86.67716217041016,87.80626704668194,86.23097786001982,86.75911013736068,9364300,24.88433074951172,25.22154383043746,24.659192240158898,24.922514988303167,60958000,79.60148620605469,81.37415788103472,79.1563979359298,80.89070356642102,5395200,76.72440338134766,77.8742438494458,76.34356129709077,77.22242377701261,10151100,43.57146072387695,44.2082976157748,43.223421300441636,43.882472513048334,21644700,29.923969268798828,30.352156908037745,29.79761873008202,30.064359053785555,12529500,78.01351165771484,79.5915179432045,77.25718195253474,78.51772196273079,4222100,75.85472106933594,77.47203396224693,75.25939446746183,76.62865397875957,25179600,39.42750930786133,40.74572778374153,39.17237077128169,39.946292837322005,35270600,4.625570774078369,4.704856872558594,4.590000152587891,4.602142810821533,187215000,0.4717084467411041,0.485624558444999,0.46834939811703613,0.47602724397365814,236720000,36.27207946777344,37.13389026204703,35.967910572961095,36.89731266436847,12878200,19.032238006591797,19.495723122210606,18.84449661800483,19.290381973604948,35989568,65.45426940917969,66.3240913459012,65.07009243143148,65.8021959717911,6727100,167.35076904296875,170.16644396459586,166.050581341413,169.0401714686587,214553300,13.616666793823242,13.840666770935059,13.394000053405762,13.554667472839355,67159500,85.73357391357422,87.83802562588943,84.71045773982976,86.45724176066794,3856500,60.23538589477539,61.397223148166965,59.84964349221418,60.52180084462952,10284000,24.09153938293457,24.539327436732027,23.98903338632406,24.49346908468718,24646200,55.779476165771484,56.665750253989245,55.22787950196653,56.32487378602673,17469000
2015-01-14,24.31899070739746,24.47181381263504,24.03106027700955,24.150662070103355,195826400,2.630000114440918,2.6600000858306885,2.5799999237060547,2.5999999046325684,9989900,14.66349983215332,14.795499801635742,14.324999809265137,14.596500396728516,110774000,12.656188011169434,12.798213786392699,12.44314709087554,12.624625724471377,164779800,112.1290512084961,112.85345846158879,111.26782662160464,112.69247088426076,2207900,56.421634674072266,56.94396476146428,55.5642239858341,56.57931944155862,3098400,85.80300903320312,86.3220336243269,84.9470710612421,85.59357488898596,6509300,25.089136123657227,25.204681985071584,24.703822456627375,24.81589513203065,52800000,78.76499938964844,79.35589364540706,78.18178068200724,78.59617245943168,5384400,76.16778564453125,76.48271036637463,75.80891975747475,76.06525253394368,8887700,42.06822967529297,43.57145890999907,40.92784751284817,43.57145890999907,49602300,29.874835968017578,29.902911785403354,29.53088109734327,29.537902059974215,13447600,77.92945861816406,77.94813729225982,76.41680658861756,76.56620748607608,5084300,75.68605041503906,76.59888508875221,75.43799702087861,75.82495971016981,25918600,39.08732223510742,39.325454346424465,38.79816436328583,39.08732223510742,29719600,4.631999969482422,4.736999988555908,4.567999839782715,4.7071428298950195,198849000,0.47362783551216125,0.47506744388107613,0.46547013102763973,0.4666697951343193,155260000,36.38190841674805,36.47484602051024,35.87495933115956,35.87495933115956,12707400,19.055702209472656,19.196508521219275,18.85036109667792,18.8972961407767,32301727,65.22956085205078,65.35279014231921,64.82364468700554,65.0411029355329,6418200,166.34042358398438,166.53918199916947,164.44398600526128,165.33836728251805,192991100,12.845999717712402,13.013333320617676,12.333333015441895,12.388667106628418,173278500,85.94986724853516,86.07463847671582,84.16149656762124,84.51917070380402,4725600,59.029666900634766,59.731853054556126,58.69705277767202,59.27913101735691,12225200,23.36320686340332,23.8784317926657,23.333532453688797,23.643748501314576,35862900,55.618324279785156,55.71129100262217,54.08129274568439,55.128703952761875,23272100
2015-01-15,23.65896224975586,24.376571193466866,23.623525626380783,24.363282670925187,240056000,2.5199999809265137,2.6500000953674316,2.490000009536743,2.619999885559082,17744000,14.34749984741211,14.800000190734863,14.340999603271484,14.699999809265137,88384000,11.993395805358887,12.435258092721298,11.953943694480495,12.301121367226624,193241300,112.1290512084961,112.82125603347205,111.57367599894671,112.64417952371348,1819600,54.312599182128906,56.70743915900731,54.23375491909521,56.323082775471505,4821000,85.91226959228516,86.46771779297968,85.62999514334426,86.1490197139985,5662200,24.993927001953125,25.278573165229815,24.894746343387073,25.235926371151862,51068000,77.5141830444336,79.5400952471718,77.36837684989268,79.28685475814704,6895000,75.06189727783203,76.11653009654216,74.66640997081572,75.41344341328083,10834800,40.72050094604492,41.920122077612135,40.35765109693528,41.268474810237365,42458100,29.748485565185547,30.085419474898355,29.601074804044632,30.064361942326517,11193100,76.79962158203125,78.55503893932922,76.73426048691444,78.24691213310716,4331500,73.47342681884766,75.97380198842959,72.96739571703131,75.8051274778207,34134000,38.67910385131836,39.44452277911511,38.619571628518926,39.308448663536005,32750800,4.625143051147461,4.6785712242126465,4.584428787231445,4.654714107513428,116690000,0.4702688157558441,0.4798661291868613,0.4700288714791686,0.47698694087800614,188932000,36.01859664916992,36.87195628436008,35.96790077281955,36.73677050384234,13431000,19.008769989013672,19.225845484803518,18.92076647339349,19.143708555704563,27009593,65.1353530883789,65.59925900800891,64.75842607230778,65.59200892264741,6768200,164.81668090820312,167.29281524544783,164.70074163458398,166.9781301521576,176613900,12.791333198547363,13.050000190734863,12.666666984558105,12.965999603271484,78247500,86.8897933959961,86.99792506927325,85.78349830381266,86.14117241834836,5888900,58.46837615966797,59.47083550277448,58.2905193328266,59.29528722321688,10569200,23.570913314819336,23.67881393531702,23.387481488207158,23.46840733946348,28238100,55.134910583496094,56.188525706519336,54.85601510508427,56.04597608141878,18759600
