Date,ADA-USD__Close,ADA-USD__High,ADA-USD__Low,ADA-USD__Open,ADA-USD__Volume,AVAX-USD__Close,AVAX-USD__High,AVAX-USD__Low,AVAX-USD__Open,AVAX-USD__Volume,BNB-USD__Close,BNB-USD__High,BNB-USD__Low,BNB-USD__Open,BNB-USD__Volume,BTC-USD__Close,BTC-USD__High,BTC-USD__Low,BTC-USD__Open,BTC-USD__Volume,DOGE-USD__Close,DOGE-USD__High,DOGE-USD__Low,DOGE-USD__Open,DOGE-USD__Volume,DOT-USD__Close,DOT-USD__High,DOT-USD__Low,DOT-USD__Open,DOT-USD__Volume,ETH-USD__Close,ETH-USD__High,ETH-USD__Low,ETH-USD__Open,ETH-USD__Volume,LTC-USD__Close,LTC-USD__High,LTC-USD__Low,LTC-USD__Open,LTC-USD__Volume,SOL-USD__Close,SOL-USD__High,SOL-USD__Low,SOL-USD__Open,SOL-USD__Volume,XRP-USD__Close,XRP-USD__High,XRP-USD__Low,XRP-USD__Open,XRP-USD__Volume
2020-08-20,0.13364200294017792,0.13391299545764923,0.12768599390983582,0.12930899858474731,314037834,,,,,,23.092575073242188,23.271770477294922,22.13014793395996,22.371692657470703,240389084,11878.3720703125,11900.4111328125,11710.0634765625,11761.5,20175242945,0.003459000028669834,0.0034990001004189253,0.003389999968931079,0.00342399999499321,43536656,2.9000799655914307,3.0777840614318848,2.6928958892822266,2.7878570556640625,48819867.0,416.4397888183594,418.73443603515625,404.0260925292969,406.7589111328125,10043032427,62.96675491333008,63.5305290222168,61.28464126586914,62.01996612548828,2801314591,3.2082669734954834,3.4318430423736572,2.896235942840576,2.899040937423706,13756478.0,0.2925730049610138,0.29409900307655334,0.28607800602912903,0.29030099511146545,1749934412
2020-08-21,0.12375999987125397,0.13386599719524384,0.12312699854373932,0.13353599607944489,363034924,,,,,,22.12899398803711,23.353607177734375,21.85654640197754,23.104413986206055,245533836,11592.4892578125,11899.259765625,11564.9794921875,11878.0263671875,23762425999,0.003392999991774559,0.0035540000535547733,0.0033889999613165855,0.0034570000134408474,60621268,2.875027894973755,3.090092897415161,2.7309188842773438,2.896923065185547,49313137.0,389.1263427734375,418.6379699707031,387.4411315917969,416.1487731933594,11781796374,59.37902069091797,63.649986267089844,59.17335891723633,62.90597152709961,2911090515,2.9436678886413574,3.223289966583252,2.913770914077759,3.2097179889678955,11796736.0,0.2806819975376129,0.29551801085472107,0.2802579998970032,0.29246801137924194,1833818566
2020-08-22,0.12527599930763245,0.12574400007724762,0.1200380027294159,0.12374699860811234,296099194,,,,,,22.23982048034668,22.23982048034668,21.461286544799805,22.115171432495117,208053381,11681.8251953125,11689.4072265625,11448.8056640625,11585.4775390625,20224191306,0.003441999899223447,0.0034469999372959137,0.0033539999276399612,0.0033919999841600657,44884852,4.484690189361572,4.510612964630127,2.8167619705200195,2.878570079803467,485801096.0,395.83514404296875,396.4665832519531,382.81463623046875,389.0310974121094,10131847985,60.3111572265625,60.46170425415039,58.28854751586914,59.36305618286133,2317942996,3.020885944366455,3.1948649883270264,2.757327079772949,2.945307970046997,10296805.0,0.286545991897583,0.286545991897583,0.27589601278305054,0.2806349992752075,1417207522
2020-08-23,0.12159500271081924,0.12566299736499786,0.12049800157546997,0.12515099346637726,232234230,,,,,,21.87084197998047,22.21905517578125,21.607685089111328,22.21905517578125,181970641,11664.84765625,11713.4296875,11559.9208984375,11679.6962890625,18482062658,0.003413999918848276,0.003452999982982874,0.003387999953702092,0.003438000101596117,39485548,3.9670660495758057,4.487058162689209,3.716270923614502,4.487058162689209,320749483.0,391.3844909667969,396.49041748046875,385.039794921875,395.5628356933594,8137303970,60.623260498046875,61.48896026611328,58.34038543701172,60.26280212402344,2315616100,3.3224310874938965,3.4034149646759033,3.0188379287719727,3.0208630561828613,11991402.0,0.28538599610328674,0.2872759997844696,0.27882900834083557,0.2863579988479614,1183627267
2020-08-24,0.12448800355195999,0.12631000578403473,0.1208759993314743,0.12158100306987762,278021260,,,,,,22.605852127075195,22.89571762084961,21.772859573364258,21.86577796936035,192633739,11774.595703125,11807.6318359375,11623.25,11663.689453125,20681511755,0.0034179999493062496,0.0034650000743567944,0.0033859999384731054,0.0034099998883903027,46470522,4.602613925933838,4.783157825469971,3.8126699924468994,3.987412929534912,407690171.0,408.1441955566406,409.3885803222656,389.3146057128906,391.6789855957031,10328860398,62.199424743652344,62.820098876953125,60.27156066894531,60.623260498046875,2490426542,3.3449859619140625,3.607538938522339,3.224431037902832,3.3122220039367676,15785208.0,0.28921499848365784,0.29131200909614563,0.28311699628829956,0.28527799248695374,1237229520
2020-08-25,0.11329200118780136,0.12459199875593185,0.10837200284004211,0.12452500313520432,431857369,,,,,,21.475366592407227,22.634571075439453,21.154939651489258,22.608211517333984,234877041,11366.134765625,11778.2998046875,11189.8505859375,11773.5888671875,26301509932,0.0033050000201910734,0.0034340000711381435,0.0032389999832957983,0.0034179999493062496,76826314,5.523393154144287,5.760775089263916,4.501223087310791,4.5849528312683105,898847538.0,384.00103759765625,408.5279235839844,374.3553771972656,408.0716857910156,12428442042,58.580665588378906,62.34196853637695,57.267555236816406,62.2150993347168,2625416624,3.264849901199341,3.3582470417022705,3.027719020843506,3.3496639728546143,13444308.0,0.2779270112514496,0.28957098722457886,0.27331098914146423,0.28904399275779724,1403395912
2020-08-26,0.1152850016951561,0.11780700087547302,0.11128199845552444,0.11334700137376785,314761939,,,,,,22.277305603027344,22.4849796295166,21.335355758666992,21.474306106567383,255812854,11488.36328125,11530.052734375,11296.9931640625,11366.89453125,22466660958,0.0033030000049620867,0.0033450000919401646,0.0032510000746697187,0.0033009999897331,80416711,6.081716060638428,6.554687976837158,5.136205196380615,5.541406154632568,1054351759.0,386.46612548828125,391.8732604980469,378.7058410644531,383.9774475097656,9967343483,58.35817337036133,58.99238204956055,57.21358871459961,58.442039489746094,2067102732,3.5583748817443848,3.7953240871429443,3.1943109035491943,3.2660410404205322,22147431.0,0.2774910032749176,0.28013598918914795,0.2748759984970093,0.2776930034160614,1194610015
2020-08-27,0.10682400315999985,0.11611399799585342,0.10440900176763535,0.11525800079107285,361935074,,,,,,23.080753326416016,23.13976287841797,21.921072006225586,22.258066177368164,296206828,11323.3974609375,11570.7861328125,11185.94140625,11485.6083984375,23240415076,0.0032029999420046806,0.0033140000887215137,0.0031649998854845762,0.0032999999821186066,89847093,5.6283369064331055,6.789179801940918,5.3139262199401855,6.075771808624268,1289248953.0,382.63262939453125,395.34918212890625,374.8664855957031,386.60986328125,10457777652,56.041015625,59.15990447998047,54.79509735107422,58.298702239990234,2212235187,3.4450600147247314,3.854706048965454,3.2922139167785645,3.5578439235687256,21031356.0,0.26451098918914795,0.2786880135536194,0.25751298666000366,0.2773599922657013,1471948899
2020-08-28,0.1094530001282692,0.11077000200748444,0.10635200142860413,0.10687500238418579,275672160,,,,,,23.133811950683594,23.532819747924805,22.709060668945312,23.077655792236328,260086579,11542.5,11545.615234375,11316.4228515625,11325.2958984375,19807127588,0.0032679999712854624,0.0032709999941289425,0.0031820000149309635,0.0032029999420046806,64056957,6.159955024719238,6.333745956420898,5.540963172912598,5.639485836029053,727162235.0,395.8746643066406,397.75762939453125,381.2738342285156,382.62957763671875,9120674421,57.35440444946289,58.16758346557617,55.56637191772461,56.10396194458008,2206041301,4.011393070220947,4.309593200683594,3.4472808837890625,3.4524950981140137,27212888.0,0.2720459997653961,0.27330198884010315,0.2613089978694916,0.26465800404548645,1178427813
2020-08-29,0.11671199649572372,0.11764699965715408,0.10878200083971024,0.10947400331497192,315465776,,,,,,23.011272430419922,23.51309585571289,22.829551696777344,23.134023666381836,213897145,11506.865234375,11585.640625,11466.29296875,11541.0546875,17485597759,0.0032820000778883696,0.0033009999897331,0.0032420000061392784,0.003266999963670969,78149363,6.159142971038818,6.562905788421631,6.042308807373047,6.175924777984619,527290028.0,399.9214782714844,405.6163635253906,393.03741455078125,395.6875915527344,8777703481,57.29173278808594,58.22694396972656,57.13005065917969,57.438873291015625,2006047086,3.968808889389038,4.105240821838379,3.78711199760437,4.01421594619751,14585964.0,0.27449700236320496,0.2768389880657196,0.26944699883461,0.2720089852809906,1053592719
