Date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NVDA,JPM,V,UNH
2012-05-21,0.05826088101067106,0.016398891993961495,0.022834687198918235,0.019920532641259037,-0.10986144521845398,0.043904409529149646,0.017384364575119937,-0.02926249516872992,0.03178299844360888,0.028894402202655378
2012-05-22,-0.0076790011531957525,0.0003360659829405588,-0.021673575378618803,-0.01274585610139034,-0.08903915501377757,0.07055946946271918,-0.01220552543575859,0.04613931262783533,0.01867141054186594,0.0030608121332489358
2012-05-23,0.024399726305390557,-0.02184121605034761,0.014414070598621542,0.009055853167555528,0.0322581522568961,0.007143037117946172,0.02471171839235864,0.007351035243871262,0.0065883378332338705,-0.0064612424146014424
2012-05-24,-0.009183744066688426,-0.0013739827504192226,-0.009516587320410719,-0.009388828562474694,0.03218741114479884,-0.023855461162963776,-0.026527552288068024,-0.00846458297252417,0.005035337829651487,0.015534624602353553
2012-05-25,-0.005359923132337019,-0.00034417428781585713,-0.02009419060664175,-0.010918073244703619,-0.033908509388316244,-0.015522086411052571,0.023947967708685125,-0.013836089259913309,-0.0033402831424057533,-0.0017787083848302965
2012-05-29,0.01774892009419382,0.01720581966080781,0.004750435453346524,0.008736945269423257,-0.09620809496965177,0.06306644165260322,0.02580606743259861,0.003880224294561918,0.007623478338732115,0.0005344470913988264
2012-05-30,0.012057061945897729,-0.007442107555073796,-0.010280283273934598,-0.025704309009124682,-0.022538102002739313,-0.04039162783055239,-0.011792511643707648,-0.019922403580355352,-0.023196003449084235,0.0003561354054864019
2012-05-31,-0.0024863001465043055,-0.0051128184408594235,-0.012529222103741522,0.01758830113336063,0.050017712020292704,-0.02992402552858897,-0.011137313174131136,0.00576467173941686,-0.01949096877791756,-0.007121250926837908
2012-06-01,-0.028975252984625444,-0.02535114993037313,-0.01700913642352886,-0.02202808015612112,-0.06351352672420729,-0.04576271977516244,-0.03620290645673829,-0.03680224997826409,-0.025607798961700068,-0.013089310606634097
2012-06-04,0.005881748039407997,0.003514811385035399,0.013327887904643232,0.030496600399845253,-0.02958163617244247,-0.009591475982656972,-0.020868215876598484,-0.02912622851617841,0.017015662202932935,-0.0023620301181912495
2012-06-05,-0.0025870656166349093,-0.001400849285329464,-0.014137745502580068,-0.006338331652688156,-0.03828972013483045,0.0010760261163218487,0.02898558594901557,0.03193531345541145,-0.0030657639133031545,0.020579228574488795
2012-06-06,0.015333417977123176,0.029463555600625524,0.017811725331992934,0.020777675118962113,0.03633530443769595,0.04693637518142468,0.026511627055361364,0.03376046083059303,0.022230016309974454,0.02962183118180728
2012-06-07,0.0004552156732788859,-0.004088730845703825,-0.004030592189441573,0.005329866850168452,-0.01864966565224402,-0.009924540762724088,-0.04035502458179674,-0.007861768365639898,0.004039939085433986,-0.004332711190089822
2012-06-08,0.015041923170935556,0.014368818523110338,0.00383943291432165,-0.0014625040786141463,0.030026634257174223,0.039750770621190146,0.01934428401865862,0.026516411351641178,-0.0019689558758406722,0.009573605819976239
2012-06-11,-0.01576661921545508,-0.025295200887672786,-0.020587632076639828,-0.009062612508952683,-0.00332106311356406,-0.03191484555419011,0.011551040244690114,-0.02553465137078481,-0.0019731992967906287,-0.00931047330221213
2012-06-12,0.008736152850508105,0.013494876223755448,-0.005980606892209472,-0.0003694882358874496,0.014439085178136857,0.01854390416947238,0.02039151358283764,0.028945721641587374,0.006962115968746518,0.006613033868177132
2012-06-13,-0.006942493882855283,-0.005462809552393089,-0.007096002257212186,-0.007808918956720312,-0.004744545150881518,0.0037090333790696928,-0.026379216605300737,0.01569434743815923,-0.01928988857031466,0.006646373008881934
2012-06-14,-0.0011013188984282385,0.007209485138973237,-0.0036358350556410235,-0.0013039574575884894,0.03740379835485852,-0.01276486247216202,-0.012315123457020682,0.010204134360557005,0.013837916323436561,0.021375673707583642
2012-06-15,0.004549378860434494,0.023176063842510697,0.009766625105102511,0.018186029153572925,0.060798852121031866,0.017693274234068967,0.02161313667553899,0.010966700681029673,0.016396324971059473,-0.005907066129989258
2012-06-18,0.02029139140195846,-0.0059954993660286116,0.011230974465124,0.019739028224393218,0.046651047756661734,0.06452714085899092,0.008950471841559837,-0.011704141168942916,0.01435777010502437,0.008828193335313594
