Date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NVDA,JPM,V,UNH
2012-05-18,15.940132141113281,23.307397842407227,14.953534126281738,10.692500114440918,38.0506706237793,1.8373329639434814,0.27693429589271545,23.425992965698242,25.66798210144043,44.19437026977539
2012-05-21,16.868818283081055,23.689613342285156,15.29499340057373,10.905500411987305,33.87036895751953,1.9179999828338623,0.28174862265586853,22.740489959716797,26.483787536621094,45.47134017944336
2012-05-22,16.739282608032227,23.697574615478516,14.963496208190918,10.766500473022461,30.85457992553711,2.053333044052124,0.27830973267555237,23.78972053527832,26.9782772064209,45.61051940917969
2012-05-23,17.147716522216797,23.179990768432617,15.179181098937988,10.86400032043457,31.849891662597656,2.068000078201294,0.2851872444152832,23.964599609375,27.15601921081543,45.315818786621094
2012-05-24,16.990236282348633,23.148141860961914,15.034727096557617,10.76200008392334,32.875057220458984,2.018666982650757,0.27762192487716675,23.761749267578125,27.29275894165039,46.01978302001953
2012-05-25,16.899169921875,23.140174865722656,14.732616424560547,10.644499778747559,31.760313034057617,1.987333059310913,0.28427040576934814,23.432979583740234,27.20159339904785,45.93792724609375
2012-05-29,17.199111938476562,23.538320541381836,14.802602767944336,10.737500190734863,28.704713821411133,2.1126670837402344,0.2916063070297241,23.52390480041504,27.408964157104492,45.96247863769531
2012-05-30,17.406482696533203,23.36314582824707,14.65042781829834,10.46150016784668,28.057764053344727,2.0273330211639404,0.2881675362586975,23.055252075195312,26.77318572998047,45.97884750366211
2012-05-31,17.363204956054688,23.243694305419922,14.466869354248047,10.645500183105469,29.461149215698242,1.9666670560836792,0.2849581241607666,23.18815803527832,26.25135040283203,45.65142059326172
2012-06-01,16.8601016998291,22.65443992614746,14.220800399780273,10.41100025177002,27.589967727661133,1.8766670227050781,0.27464181184768677,22.334781646728516,25.579111099243164,45.05387496948242
2012-06-04,16.95926856994629,22.734066009521484,14.410333633422852,10.728500366210938,26.77381134033203,1.858667016029358,0.2689105272293091,21.684253692626953,26.01435661315918,44.94745635986328
2012-06-05,16.915393829345703,22.702219009399414,14.20660400390625,10.660499572753906,25.74864959716797,1.8606669902801514,0.2767050564289093,22.376747131347656,25.934602737426758,45.872440338134766
2012-06-06,17.17476463317871,23.37110710144043,14.459648132324219,10.881999969482422,26.684234619140625,1.9479999542236328,0.2840409576892853,23.1321964263916,26.51112937927246,47.231266021728516
2012-06-07,17.18258285522461,23.275548934936523,14.4013671875,10.9399995803833,26.186582565307617,1.9286669492721558,0.27257847785949707,22.950336456298828,26.61823272705078,47.02662658691406
2012-06-08,17.441041946411133,23.6099910736084,14.456660270690918,10.923999786376953,26.972877502441406,2.0053329467773438,0.27785131335258484,23.558897018432617,26.56582260131836,47.47684097290039
2012-06-11,17.16605567932129,23.012771606445312,14.159031867980957,10.824999809265137,26.883298873901367,1.9413330554962158,0.2810607850551605,22.95732879638672,26.513402938842773,47.03480911254883
2012-06-12,17.316020965576172,23.323326110839844,14.074352264404297,10.821000099182129,27.271469116210938,1.9773329496383667,0.2867920398712158,23.621845245361328,26.6979923248291,47.34585189819336
