Date,"['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD"
2015-01-02,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-05,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-06,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-07,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-08,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-09,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-12,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-13,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-14,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-15,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-16,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-20,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-21,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2015-01-22,60.98646955452253,0.0,69.5946518557469,0.0,61.25930885080978,0.0,56.246470406901715,0.0
2015-01-23,62.49019560746894,0.0,72.54414128207546,0.0,63.05905645412993,0.0,56.69515929077909,0.0
2015-01-26,62.80956141700607,0.0,66.6116825280363,0.0,59.155875255843405,0.0,54.642931699832985,0.0
2015-01-27,48.21839957042503,0.0,50.924285022366895,0.0,55.231483250137856,0.0,27.355319820122716,0.0
2015-01-28,62.741557620897815,0.0,44.98564287527525,0.0,51.63153147625996,0.0,23.14838915067962,0.0
2015-01-29,68.31071340741984,0.0,45.50904273756331,0.0,59.5078536089253,0.0,29.647969049107218,0.0
2015-01-30,63.366917494986524,0.0,60.23636929573919,0.0,79.26238338166506,0.0,25.150474166788584,0.0
2015-02-02,65.630063706979,0.0,56.102710391926145,0.0,81.51991862116598,0.0,31.286097175058472,0.0
2015-02-03,65.661153190199,0.0,56.50715690338222,0.0,80.64486572372132,0.0,33.423262219334376,0.0
2015-02-04,67.11824692763571,0.0,52.09959003146478,0.0,80.9323710952442,0.0,35.05484217366666,0.0
2015-02-05,68.46946804184178,0.0,54.916465362052854,0.0,83.00331440307657,0.0,39.137381412927986,0.0
