Date,AAPL,GOOG,AMZN,MSFT
2015-01-02,24.28858184814453,26.045291900634766,15.425999641418457,39.998695373535156
2015-01-05,23.604331970214844,25.50235939025879,15.10949993133545,39.6308708190918
2015-01-06,23.606555938720703,24.911291122436523,14.76449966430664,39.04920196533203
2015-01-07,23.937572479248047,24.868610382080078,14.920999526977539,39.54533386230469
2015-01-08,24.85730743408203,24.947023391723633,15.02299976348877,40.70869445800781
2015-01-09,24.88396644592285,24.623947143554688,14.846500396728516,40.36652374267578
2015-01-12,24.270816802978516,24.444290161132812,14.570500373840332,39.8618278503418
2015-01-13,24.486305236816406,24.624441146850586,14.737000465393066,39.65654754638672
2015-01-14,24.392995834350586,24.857196807861328,14.66349983215332,39.31437683105469
2015-01-15,23.730968475341797,24.90285301208496,14.34749984741211,38.903778076171875
2015-01-16,23.546571731567383,25.21501350402832,14.536999702453613,39.55387878417969
2015-01-20,24.153064727783203,25.15645408630371,14.472000122070312,39.682193756103516
2015-01-21,24.33745765686035,25.709312438964844,14.862500190734863,39.28015899658203
2015-01-22,24.970605850219727,26.520727157592773,15.515999794006348,40.315208435058594
2015-01-23,25.099458694458008,26.79665756225586,15.619500160217285,40.357967376708984
2015-01-26,25.126115798950195,26.56142234802246,15.482999801635742,40.212554931640625
2015-01-27,24.246360778808594,25.738590240478516,15.337499618530273,36.49154281616211
2015-01-28,25.617082595825195,25.310298919677734,15.195500373840332,35.23409652709961
2015-01-29,26.414628982543945,25.343055725097656,15.58899974822998,35.9355354309082
2015-01-30,26.028079986572266,26.527179718017578,17.726499557495117,34.55833435058594
2015-02-02,26.35465431213379,26.227426528930664,18.223499298095703,35.31108474731445
2015-02-03,26.359098434448242,26.26514434814453,18.177499771118164,35.584808349609375
2015-02-04,26.561260223388672,25.943553924560547,18.237499237060547,35.79011154174805
2015-02-05,26.75084686279297,26.18276023864746,18.694499969482422,36.311912536621094
2015-02-06,26.525569915771484,26.35249137878418,18.714000701904297,36.27769088745117
2015-02-09,26.701772689819336,26.195167541503906,18.527999877929688,36.23493957519531
2015-02-10,27.214750289916992,26.64727783203125,18.649999618530273,36.44022750854492
2015-02-11,27.852632522583008,26.599140167236328,18.756999969482422,36.25203323364258
2015-02-12,28.20502281188965,26.944551467895508,18.85849952697754,36.859375
2015-02-13,28.343311309814453,27.24629020690918,19.09149932861328,37.52659606933594
2015-02-17,28.510595321655273,26.940088272094727,18.771499633789062,37.5438117980957
2015-02-18,28.709096908569336,26.784255981445312,18.668500900268555,37.50074768066406
2015-02-19,28.648866653442383,26.94157600402832,18.950000762939453,37.47488784790039
2015-02-20,28.883060455322266,26.747032165527344,19.183000564575195,37.7850341796875
2015-02-23,29.663686752319336,26.39765167236328,19.006999969482422,38.03485870361328
2015-02-24,29.478559494018555,26.6050968170166,18.929500579833984,37.983177185058594
2015-02-25,28.724700927734375,26.991201400756836,19.26849937438965,37.89701843261719
