Date,AAPL_RSI,AAPL_MACD,AAPL_EMA10,AAPL_BB_Width,AAPL_Stoch_%K,GOOG_RSI,GOOG_MACD,GOOG_EMA10,GOOG_BB_Width,GOOG_Stoch_%K,AMZN_RSI,AMZN_MACD,AMZN_EMA10,AMZN_BB_Width,AMZN_Stoch_%K,MSFT_RSI,MSFT_MACD,MSFT_EMA10,MSFT_BB_Width,MSFT_Stoch_%K
2015-01-02,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-05,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-06,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-07,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-08,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-09,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-12,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-13,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-14,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-15,50.0,0.0,24.236884694299356,0.0,0.0,50.0,0.0,25.00483510867265,0.0,0.0,50.0,0.0,14.804724026966946,0.0,0.0,50.0,0.0,39.63931417759279,0.0,0.0
2015-01-16,50.0,0.0,24.1113732465299,0.0,0.0,50.0,0.0,25.043049362373683,0.0,0.0,50.0,0.0,14.75604687705543,0.0,0.0,50.0,0.0,39.62378463118742,0.0,0.0
2015-01-20,50.0,0.0,24.118954209430004,0.0,0.0,50.0,0.0,25.063668403088233,0.0,0.0,50.0,0.0,14.70440201251268,0.0,0.0,50.0,0.0,39.63440724640654,0.0,0.0
2015-01-21,50.0,0.0,24.158682455753453,0.0,0.0,50.0,0.0,25.18105788100241,0.0,0.0,50.0,0.0,14.733147135825803,0.0,0.0,50.0,0.0,39.56999778012985,0.0,0.0
2015-01-22,60.986457027517574,0.0,24.30630558469228,0.0,100.0,69.59466706842342,0.0,25.424633766319086,0.0,100.0,61.25930885080978,0.0,14.875483982767719,0.0,100.0,56.24634965435795,0.0,39.70548854573657,0.0,78.19940271757164
2015-01-23,62.49017818281444,0.0,24.450515934594637,0.0,100.0,72.54417817437279,0.0,25.674092638307588,0.0,100.0,63.05905645412993,0.0,15.010759651394912,0.0,100.0,56.695277543222154,0.0,39.82412314120279,0.0,80.56972205020469
2015-01-26,62.80945238193497,0.0,24.573351579987055,0.0,100.0,66.61171129272839,0.0,25.8354253128012,0.0,90.0000567575084,59.155875255843405,0.0,15.096621496893242,0.0,89.26884237311899,54.64284873714779,0.0,39.89474640951925,0.0,72.51232713999785
2015-01-27,48.218474020683246,0.0,24.513900094208157,0.0,44.30382039621607,50.92432448124131,0.0,25.817819282805917,0.0,55.021215145822204,55.231483250137856,0.0,15.140417519009066,0.0,77.83015154570926,27.355428866196533,0.0,39.27598281339927,0.0,0.0
2015-01-28,62.7416338573137,0.0,24.71448011802844,0.0,100.0,44.98564805070455,0.0,25.725542853146244,0.0,36.81429835151871,51.63153147625996,0.0,15.150432583523841,0.0,66.66669165812584,23.148482972459973,0.0,38.54109439770841,0.0,0.0
2015-01-29,68.31076298548088,0.0,25.023598786976216,0.0,100.0,45.509048146133836,0.0,25.655999738955593,0.0,38.206803279286675,59.5078536089253,0.0,15.230172068015866,0.0,97.60216945858753,29.64803469994571,0.0,38.06735640374474,0.0,13.66680664617763
2015-01-30,63.366976747241715,0.0,25.206232772729297,12.660936809798972,86.52235500668355,60.23637904062348,0.0,25.814396098785043,11.08611352836102,88.54438883109533,79.26238338166506,0.0,15.68404979337573,18.70623374221711,100.0,25.15055230504801,0.0,37.42935308766082,18.258199060612824,0.0
2015-02-02,65.63011167853975,0.0,25.415037382565977,14.014266459543236,97.90887749469638,56.10271795235037,0.0,25.8894925406297,11.223761271218207,73.79494375116343,81.51991862116598,0.0,16.145767885142995,25.568229289679383,100.0,31.286127853603432,0.0,37.04421338941603,19.888361500743954,12.979193483567174
2015-02-03,65.66116120193612,0.0,25.58668449975391,14.513860517135772,98.0636301365308,56.50716454108444,0.0,25.95779286926876,11.55820100055771,72.59479404741768,80.64486572372132,0.0,16.515173682593023,30.11073249207568,98.8132215300127,33.4234040128412,0.0,36.778869792867376,21.046120939636165,17.69912144709641
2015-02-04,67.11829916444685,0.0,25.763880779450645,14.916540428845662,100.0,52.09959559705138,0.0,25.955203970230905,11.451120416914428,54.95287532052638,80.9323710952442,0.0,16.8283237834053,33.33227008692411,100.0,35.05485693714421,0.0,36.59909556539113,21.955047310405362,21.23878787719334
2015-02-05,68.46949501605539,0.0,25.943329158240154,15.550031783594584,100.0,54.916471488407176,0.0,25.99657783721573,11.370564535843704,62.5718800984721,83.00331440307657,0.0,17.16762854451023,36.784945078242366,100.0,39.13744581486904,0.0,36.54688185641376,22.307207439786403,30.236045729214695
2015-02-06,65.04897434122043,0.0,26.049192501317584,16.215123480614057,91.32838564917063,56.85525796724367,0.0,26.061289390228175,11.369127279332169,72.92005595745745,83.08772408909721,0.0,17.448787118581876,39.36389108824916,100.0,38.96441307463449,0.0,36.49793804387511,21.95798519733211,29.6458491877809
2015-02-09,66.46034057275497,0.0,26.16784413826286,16.919736236321324,98.04069553138147,54.515092729551554,0.0,26.08563087227831,10.829789471541687,59.53264551894056,79.05493368647691,0.0,17.64500762028148,40.66593258239758,95.17069195667499,38.73401388971213,0.0,36.45011805973482,21.59578088244777,28.908514602973938
2015-02-10,70.22950896892361,0.0,26.3581914048722,17.636600348090383,100.0,59.65442129214544,0.0,26.187748501324297,10.146237514910876,89.94995380351094,79.74922102296759,0.0,17.827733438144897,41.19751919583733,98.18101243693106,40.55142347793973,0.0,36.44831908411897,21.24877475464052,32.44831258250616
2015-02-11,74.1236891321997,0.0,26.629908665310033,18.99370238350229,100.0,58.891435380177725,0.0,26.262546986035574,9.407101529653014,86.7113232727646,80.36400342876144,0.0,17.99669098929717,41.49865051553027,100.0,39.397686449206006,0.0,36.412630747668715,20.915147233020736,29.20344843689672
2015-02-12,75.9920574645344,0.0,26.916295136341198,20.270257306111713,100.0,62.58895067263601,0.0,26.386547800919196,9.092608722098063,100.0,80.95465606467201,0.0,18.1533834506936,41.23954983778831,100.0,44.85094743383138,0.0,36.49385628178399,20.475360731030907,40.69590303180774
2015-02-13,76.70288421342633,0.0,27.17575262242724,20.445603862771552,100.0,65.5075899258622,0.0,26.54286460200828,8.927195691244476,100.0,82.27289208140549,0.0,18.32394997395172,40.09498899064886,100.0,50.15723450285563,0.0,36.681625765085336,20.133379703423174,100.0
2015-02-17,77.56815667036746,0.0,27.41845060143283,19.920236674791816,100.0,60.36120049888874,0.0,26.61508674068788,8.57791582197822,84.18361465867075,74.63257351607325,0.0,18.405322639376692,38.23766846665772,91.78645326811008,50.2901972479184,0.0,36.83838686199631,19.368090440476614,100.0
2015-02-18,78.58459525582113,0.0,27.65311287278542,19.876213981307338,100.0,57.86951970556676,0.0,26.645844437671297,7.7918685056200605,75.72363588259877,72.30506941852691,0.0,18.45317323226612,35.486452020911614,87.9229556310629,49.93147232563536,0.0,36.95881471459144,18.38962958165322,98.55728932411988
2015-02-19,77.43801152369403,0.0,27.83415832114173,19.441640767361953,97.75344687753447,59.679092518051824,0.0,26.699613466581912,7.6874688936817925,76.6095322316397,74.63345225322631,0.0,18.543505510570363,33.13073199792997,89.63380297434651,49.70234296340704,0.0,37.052646886956204,17.598085562482193,97.69148403320114
2015-02-20,78.73711289105314,0.14672556043125895,28.02486780008364,19.560674917172744,100.0,56.450161639174645,0.03362866564138206,26.708235048208355,7.759726789764334,61.67620046002322,76.4019036385398,-0.024686389272468245,18.659777338571242,31.696840388600318,100.0,52.51777231358024,0.30881536223171047,37.185807519326026,15.681964612331509,100.0
2015-02-23,82.379097760002,0.17218305744951157,28.32283453551765,20.295311286190973,100.0,51.10266855892117,-0.007979791879877629,26.651765343509247,7.651212736092283,34.857227357179774,72.30153819540647,-0.04287112953362349,18.722908726009635,29.771965844806004,82.49622514094072,54.71670506269836,0.32296456331466594,37.34018115550503,13.38626969023575,100.0
2015-02-24,78.92642250080554,0.1586103087463635,28.532965652572855,20.26676177304761,94.10061071968647,53.89533591098981,-0.02297464852532144,26.64328015687422,7.662853732961136,50.781029239731836,70.5071339995431,-0.0654825728771391,18.760470881250424,26.90503562791877,73.18882825817253,54.1579178065223,0.3167403791667163,37.45708952451477,10.674389892569573,97.69750258306597
2015-02-25,66.67231340760156,0.08462942085641201,28.56782661169313,17.65722597684924,70.07801749497955,58.63116335096771,-0.009048446954436073,26.706538911643534,7.525171714782719,76.01507184413087,73.59426815607289,-0.06295406959993555,18.852839698184827,23.008833065838566,100.0,53.18285146071253,0.2951506619564436,37.53707590513389,11.117869596309948,92.34150414757482
2015-02-26,69.15912475330691,0.047781123666302605,28.662448554875166,16.89459193338908,81.6629104488498,64.49259713918039,0.03442539629647712,26.86305563773587,7.225124495936769,100.0,72.90337403454338,-0.06811028728965285,18.92323243871816,16.859562440811114,96.15130011462129,53.809726166700386,0.27373674715568275,37.61348482814399,10.931400028250785,95.69220205068646
2015-02-27,63.065419149540766,-0.015068828636741305,28.660385210114484,16.44727192561578,65.81309851998817,65.80493587782215,0.06653974398792284,27.017463584860952,6.797626020819644,100.0,67.35964721375706,-0.09064454693221125,18.938644617163224,8.28400681057484,64.82104910685538,51.57864669005305,0.2375371809812138,37.64310743196688,10.950708768218293,85.64095608275652
2015-03-02,64.15859225430258,-0.05402218476954679,28.684244740115858,15.440604046065742,64.38967401251611,70.93196047437652,0.12143356046449466,27.260558654059704,8.637091614841014,100.0,70.24770458129518,-0.09032747088713555,19.001254858778076,7.01222629279155,100.0,51.88573405225726,0.20662244065561036,37.67204589559719,9.499523060225323,86.95368432764604
2015-03-03,64.6416260981685,-0.08095640065599796,28.714715742068336,14.596614442950212,55.17239926656985,71.74292702547636,0.15375219212496255,27.480207960055417,9.962485208115474,100.0,68.99261039898974,-0.09639885680383875,19.042935660378085,6.627033695885351,91.4561961666796,45.653205746304316,0.14553194310501805,37.60174047064309,8.493715003954655,57.96027884405531
2015-03-04,61.91270114418286,-0.11427579777641939,28.706393498992522,13.42753181676174,31.803994230817008,71.49074783031261,0.16173692103699044,27.657484477416613,10.87218147169354,99.35291295085878,66.6831953492513,-0.10861663080917028,19.05985639113942,5.817913379518096,76.07790796927137,43.585854887098094,0.08929084588165628,37.509757955872395,7.591700453395791,20.11630774822488
2015-03-05,55.373544461085764,-0.16823576673418272,28.613209587998497,12.239555606049002,0.0,72.25313190367993,0.1607452555926303,27.820214530816894,11.279130287131336,100.0,69.64202048497432,-0.10146259993766515,19.120155315118154,5.219601525975132,100.0,44.20427391435312,0.053678304631779306,37.44233145497336,6.752785948282945,4.587260318492038
2015-03-06,55.82169432640976,-0.1988995997419052,28.544671467218052,11.11245353100614,2.882559044900078,64.95659378614616,0.12339256509053215,27.88437439717316,11.226281187391326,82.3929131913741,60.82994975406189,-0.12331343525079863,19.099126973355727,5.04596722382418,46.47285390175698,37.554296777060266,-0.011242866315150257,37.26968828804461,6.61693216163821,0.0
2015-03-09,57.139382392695225,-0.20791861636304698,28.51049326599179,9.302152063805034,11.07695302361796,65.5278980470168,0.09282891980810637,27.947381098574915,11.207409795774884,85.07604705774052,59.2343860589824,-0.14210199088667408,19.068012886647406,4.88261137169775,35.89194322798502,43.53110142709164,-0.022933052985996294,37.205183028907946,6.218538949493109,27.373319084513312
2015-03-10,49.40987046410434,-0.24754475334993198,28.37587867059928,7.704518573617433,0.0,54.21938557375372,0.0203879823441101,27.874049598119353,10.528312992104762,53.201252300265274,50.75411824535139,-0.1816577691718534,18.96028329031361,4.9990360845483925,0.0,37.12695557448733,-0.07261333014634924,37.023969303259555,6.2450270987433605,0.0
