Date,AAPL,GOOG,AMZN,MSFT
2015-01-02,24.28858757019043,26.045289993286133,15.425999641418457,39.99869155883789
2015-01-05,23.604331970214844,25.50235939025879,15.10949993133545,39.63087463378906
2015-01-06,23.60655975341797,24.911291122436523,14.76449966430664,39.04920196533203
2015-01-07,23.93756866455078,24.868610382080078,14.920999526977539,39.54533386230469
2015-01-08,24.857303619384766,24.947023391723633,15.02299976348877,40.708675384521484
2015-01-09,24.88396453857422,24.623947143554688,14.846500396728516,40.36652374267578
2015-01-12,24.27080726623535,24.444292068481445,14.570500373840332,39.86183166503906
2015-01-13,24.486303329467773,24.624439239501953,14.737000465393066,39.65653610229492
2015-01-14,24.39299774169922,24.857196807861328,14.66349983215332,39.31437301635742
2015-01-15,23.73096466064453,24.902854919433594,14.34749984741211,38.903778076171875
2015-01-16,23.546571731567383,25.21501350402832,14.536999702453613,39.55390167236328
2015-01-20,24.15306854248047,25.15645408630371,14.472000122070312,39.68220901489258
2015-01-21,24.337459564208984,25.70931053161621,14.862500190734863,39.280155181884766
2015-01-22,24.970609664916992,26.52072525024414,15.515999794006348,40.3151969909668
2015-01-23,25.099462509155273,26.79665756225586,15.619500160217285,40.35797882080078
2015-01-26,25.12611198425293,26.56142234802246,15.482999801635742,40.21255111694336
2015-01-27,24.246368408203125,25.73859214782715,15.337499618530273,36.491546630859375
2015-01-28,25.617090225219727,25.310298919677734,15.195500373840332,35.23409652709961
2015-01-29,26.41463279724121,25.343055725097656,15.58899974822998,35.9355354309082
2015-01-30,26.028085708618164,26.527179718017578,17.726499557495117,34.5583381652832
2015-02-02,26.354658126831055,26.227426528930664,18.223499298095703,35.31108474731445
2015-02-03,26.35909652709961,26.26514434814453,18.177499771118164,35.58482360839844
2015-02-04,26.561264038085938,25.943553924560547,18.237499237060547,35.79011154174805
2015-02-05,26.75084686279297,26.18276023864746,18.694499969482422,36.311920166015625
2015-02-06,26.525577545166016,26.35249137878418,18.714000701904297,36.27769088745117
2015-02-09,26.7017765045166,26.195167541503906,18.527999877929688,36.234928131103516
2015-02-10,27.214754104614258,26.64727783203125,18.649999618530273,36.440223693847656
2015-02-11,27.852636337280273,26.599140167236328,18.756999969482422,36.25203323364258
2015-02-12,28.205034255981445,26.944551467895508,18.85849952697754,36.859371185302734
2015-02-13,28.343311309814453,27.24629020690918,19.09149932861328,37.526588439941406
2015-02-17,28.510591506958008,26.940086364746094,18.771499633789062,37.5438117980957
2015-02-18,28.70909309387207,26.78425407409668,18.668500900268555,37.50074005126953
2015-02-19,28.648862838745117,26.941574096679688,18.950000762939453,37.474891662597656
2015-02-20,28.883060455322266,26.747032165527344,19.183000564575195,37.785030364990234
2015-02-23,29.663684844970703,26.39765167236328,19.006999969482422,38.03486251831055
2015-02-24,29.47855567932129,26.6050968170166,18.929500579833984,37.983177185058594
2015-02-25,28.724700927734375,26.99120330810547,19.26849937438965,37.89701461791992
2015-02-26,29.088247299194336,27.567380905151367,19.239999771118164,37.95732498168945
2015-02-27,28.651100158691406,27.712299346923828,19.007999420166016,37.77640914916992
2015-03-02,28.79161262512207,28.3544864654541,19.283000946044922,37.802268981933594
