Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_RSI,AAPL_MACD_diff,AAPL_ATR,AAPL_BB_upper,AAPL_BB_lower,AAPL_SMA_20,AAPL_EMA_20,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_RSI,MSFT_MACD_diff,MSFT_ATR,MSFT_BB_upper,MSFT_BB_lower,MSFT_SMA_20,MSFT_EMA_20,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,GOOGL_RSI,GOOGL_MACD_diff,GOOGL_ATR,GOOGL_BB_upper,GOOGL_BB_lower,GOOGL_SMA_20,GOOGL_EMA_20,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,AMZN_RSI,AMZN_MACD_diff,AMZN_ATR,AMZN_BB_upper,AMZN_BB_lower,AMZN_SMA_20,AMZN_EMA_20,META_Open,META_High,META_Low,META_Close,META_Volume,META_RSI,META_MACD_diff,META_ATR,META_BB_upper,META_BB_lower,META_SMA_20,META_EMA_20,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Volume,TSLA_RSI,TSLA_MACD_diff,TSLA_ATR,TSLA_BB_upper,TSLA_BB_lower,TSLA_SMA_20,TSLA_EMA_20,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_RSI,NVDA_MACD_diff,NVDA_ATR,NVDA_BB_upper,NVDA_BB_lower,NVDA_SMA_20,NVDA_EMA_20,JPM_Open,JPM_High,JPM_Low,JPM_Close,JPM_Volume,JPM_RSI,JPM_MACD_diff,JPM_ATR,JPM_BB_upper,JPM_BB_lower,JPM_SMA_20,JPM_EMA_20,V_Open,V_High,V_Low,V_Close,V_Volume,V_RSI,V_MACD_diff,V_ATR,V_BB_upper,V_BB_lower,V_SMA_20,V_EMA_20,UNH_Open,UNH_High,UNH_Low,UNH_Close,UNH_Volume,UNH_RSI,UNH_MACD_diff,UNH_ATR,UNH_BB_upper,UNH_BB_lower,UNH_SMA_20,UNH_EMA_20
2015-02-20,32.154998779296875,32.375,32.01250076293945,32.375,195793600,78.44932224540341,0.16249785489517443,0.5961284564063491,33.07467374643029,27.34932623068153,30.21199998855591,30.46648842964002,43.5099983215332,43.880001068115234,43.290000915527344,43.86000061035156,29721100,50.56642967873031,0.3232098859781096,0.8970999919850612,46.252183208878066,39.62781633335827,42.93999977111817,43.496471020071695,27.378999710083008,27.378999710083008,26.905000686645508,27.09000015258789,38234000,56.029976184248326,0.03973046722163892,0.5099325735928844,27.780800998047113,25.713699543639898,26.747250270843505,26.785276008503963,18.930999755859375,19.184999465942383,18.79199981689453,19.183000564575195,65160000,76.4019036385398,-0.024686389272468245,0.45371543748980453,20.647432142910912,14.998167699160621,17.822799921035767,17.943194121198406,79.55000305175781,80.33999633789062,79.19999694824219,79.9000015258789,36931700,65.55438696562214,0.5350682674140409,1.6638172166376315,79.26165797630844,73.44834263404312,76.35500030517578,76.70959860977227,14.052000045776367,14.506667137145996,13.987333297729492,14.473999977111816,89731500,58.70979750735761,-0.009828739592641841,0.50376785231554,14.895517965358474,13.098082307773849,13.996800136566161,13.985873898512214,0.5540000200271606,0.5587499737739563,0.550000011920929,0.5584999918937683,157752000,70.1865174019758,0.004860945506894154,0.01301756880790637,0.5733760080172114,0.4661239930556722,0.5197500005364418,0.5283116099248093,58.959999084472656,59.88999938964844,58.349998474121094,59.79999923706055,15379000,58.70744451775794,0.39072146000966584,1.226997745755611,60.95383344370223,54.05316614431046,57.503499794006345,58.402710017305324,67.26000213623047,68.25,66.76499938964844,68.25,9034800,63.78135392003797,0.1957600056245249,1.2103841722910482,69.69794067192956,61.62580963324624,65.6618751525879,66.33303015115567,109.95999908447266,112.81999969482422,109.44000244140625,112.62000274658203,4647100,67.37457341495244,0.14469426961759324,2.0790361551110808,112.50780440411687,105.88519486346125,109.19649963378906,108.77461098994351
2015-02-23,32.505001068115234,33.25,32.415000915527344,33.25,283896400,82.17219288469843,0.19202372413912983,0.6160478523773243,33.46499411838937,27.459505774799105,30.462249946594238,30.731584769674306,43.70000076293945,44.189998626708984,43.650001525878906,44.150001525878906,32518800,52.77115070034165,0.34101384247482036,0.8715926426168481,45.54096239191478,40.03603727239186,42.78849983215332,43.55871202062477,26.950000762939453,26.96500015258789,26.600000381469727,26.75,32906000,51.091741323723646,-0.001805483768719418,0.5085088019875472,27.75089736603437,25.70885319091143,26.7298752784729,26.781916388646444,19.172000885009766,19.226999282836914,18.899999618530273,19.006999969482422,43540000,72.30153819540647,-0.04287112953362349,0.44466431083386426,20.670486996193645,15.313862826804401,17.992174911499024,18.044508963892124,79.95999908447266,80.19000244140625,78.37999725341797,78.83999633789062,24139100,59.41493842566236,0.5307254875611711,1.6742592145912494,79.44496924147673,73.36603081955842,76.40550003051757,76.91249363149784,14.37733268737793,14.546667098999023,13.755332946777344,13.822667121887207,127497000,47.63897583876138,-0.022088883491622274,0.5243083023088356,14.880354255229781,13.153579384296586,14.016966819763184,13.970330395976498,0.5582500100135803,0.5582500100135803,0.5512499809265137,0.5540000200271606,125008000,66.79533123463591,0.0039413095546193405,0.012605600390716962,0.5772079928667363,0.46591700772931005,0.5215625002980232,0.5307581251726523,59.5,59.529998779296875,58.79999923706055,59.349998474121094,16814000,55.531711074867026,0.33160936424679394,1.2107836210587817,61.15549292903716,54.11850647587007,57.636999702453615,58.49292796557349,68.23999786376953,68.33000183105469,67.5625,68.25250244140625,6654800,63.792841040171524,0.19733855925117327,1.1787497193455938,70.00030943620601,61.69144089948736,65.84587516784669,66.51583703594144,112.98999786376953,116.48999786376953,112.8499984741211,116.4000015258789,7060000,74.65304876196619,0.45879126772509116,2.2069617952593963,113.84112446128142,104.99187495888458,109.416499710083,109.50083866003258
2015-02-24,33.23500061035156,33.400001525878906,32.79249954223633,33.04249954223633,276912400,78.70012563788492,0.17773616292835182,0.6154374331819853,33.72781948586119,27.673430399697896,30.70062494277954,30.95167189087069,44.150001525878906,44.29999923706055,43.91999816894531,44.09000015258789,25271700,52.251896252333,0.33684016456979693,0.8364789587238757,44.70777398965302,40.57722585775909,42.642499923706055,43.609310890335536,26.577499389648438,26.969999313354492,26.549999237060547,26.9325008392334,28406000,53.46269448609568,-0.01855109714687947,0.50218675015229,27.75859086546445,25.710809731154207,26.734700298309328,26.796257764892818,18.9325008392334,19.02400016784668,18.808000564575195,18.929500579833984,38416000,70.5071339995431,-0.0654825728771391,0.42833111743655145,20.60808254205434,15.72091735876353,18.164499950408935,18.12879387969611,78.5,79.4800033569336,78.0999984741211,78.44999694824219,18897100,57.28905294458309,0.4764644805529433,1.6532410480356245,79.58760601507508,73.31839374078429,76.45299987792968,77.05892251880684,13.81933307647705,13.81933307647705,13.446666717529297,13.607333183288574,99054000,44.641845730666596,-0.042685673416604494,0.5137148810266267,14.884353143844429,13.13331376823443,14.00883345603943,13.935759232863363,0.5540000200271606,0.5577499866485596,0.5490000247955322,0.5577499866485596,149356000,68.17528564735078,0.0032920675890071617,0.012330197638024846,0.581408233201057,0.4659417651538547,0.5236749991774559,0.5333287786465483,60.25,61.25,60.08000183105469,60.81999969482422,22937700,62.641124780553746,0.37078374872561926,1.2600134714030762,61.59339496113366,54.085604367479625,57.83949966430664,58.714553844549755,68.45249938964844,68.45249938964844,67.7925033569336,68.11750030517578,9045200,62.638636825377255,0.1735614483393374,1.1416958845862546,70.23385374555747,61.85639665117105,66.04512519836426,66.66837639491615,116.26000213623047,116.58000183105469,115.31999969482422,115.43000030517578,3582800,70.31779273300054,0.55637445227759,2.139321819614473,114.67716722374301,104.53783216590541,109.60749969482421,110.0655207214748
2015-02-25,32.88999938964844,32.900001525878906,32.037498474121094,32.1974983215332,298846800,66.39654087123864,0.09564726384307454,0.6432634071057889,33.599061094798756,28.293438638172436,30.946249866485594,31.070322027124263,43.95000076293945,44.09000015258789,43.79999923706055,43.9900016784668,29759800,51.3451208974461,0.3157898738864763,0.7974448127812662,44.856267782706,40.56173224781158,42.70900001525879,43.645567155871845,26.922000885009766,27.478500366210938,26.90049934387207,27.366500854492188,40836000,58.6022659230162,-0.002788402885354979,0.507602055308474,27.809963520728974,25.79013718727884,26.800050354003908,26.85056663056895,18.863500595092773,19.392499923706055,18.82699966430664,19.26849937438965,63490000,73.59426815607289,-0.06295406959993555,0.43812891329104164,20.47338160290997,16.24871827349384,18.361049938201905,18.237337260143114,78.5,80.19999694824219,78.5,79.55999755859375,25593800,61.51022943255634,0.4884006842863827,1.6601524017473657,80.03655023618319,73.24744939760586,76.64199981689453,77.29712014164369,13.662667274475098,13.809332847595215,13.505332946777344,13.583999633789062,58642500,44.316487706946056,-0.055077688232031845,0.4987352395831441,14.888611600313359,13.114255240049191,14.001433420181275,13.902258318665812,0.5554999709129333,0.5580000281333923,0.5509999990463257,0.5534999966621399,123820000,64.88412394562705,0.0023282958431859475,0.011949471312956404,0.5838637549102783,0.46976124163265226,0.5268124982714653,0.5352498470289856,60.7599983215332,61.27000045776367,60.75,61.13999938964844,18307900,63.99075243064092,0.3952731069939017,1.2071553990002617,62.022076096372395,54.15092309491178,58.08649959564209,58.94554865836868,67.81500244140625,68.55750274658203,67.81500244140625,68.25250244140625,6842800,63.35270119697815,0.15197379380006937,1.1131819146283637,70.32562614962319,62.31512435391684,66.32037525177002,66.81924554220093,115.81999969482422,115.81999969482422,113.72000122070312,114.05000305175781,3845900,64.57258180342819,0.48570242237850203,2.1365130092220888,115.23656877941009,104.38243070179108,109.80949974060059,110.4449952291208
2015-02-26,32.1974983215332,32.717498779296875,31.65250015258789,32.60499954223633,365150000,68.91998514684066,0.05507881571849205,0.67338735136316,33.693870996687025,28.576378751542954,31.13512487411499,31.216481790468272,43.9900016784668,44.22999954223633,43.88999938964844,44.060001373291016,28957300,51.97342047265585,0.2953942772846884,0.7647701941960251,44.9577216605679,40.74727864460789,42.85250015258789,43.68503708134034,27.28700065612793,28.006500244140625,27.254499435424805,27.964500427246094,54032000,64.43121792873345,0.04299598629502205,0.5250591091232845,27.896190011648745,25.9382107375578,26.917200374603272,26.95665556358582,19.203500747680664,19.4685001373291,19.163999557495117,19.239999771118164,53742000,72.90337403454338,-0.06811028728965285,0.42858403232982323,20.128118370158184,16.99843144597341,18.563274908065797,18.332828927855026,79.87999725341797,81.37000274658203,79.72000122070312,80.41000366210938,31111900,64.41087786748987,0.5234968957517879,1.6708561721931454,80.61299031237463,73.08800990124841,76.85050010681152,77.5935852388309,13.600000381469727,14.072667121887207,13.481332778930664,13.812666893005371,97093500,48.2936313640145,-0.04546986298328601,0.5053494612526725,14.858550843725942,13.196449366082406,14.027500104904174,13.893725801936247,0.5540000200271606,0.5582500100135803,0.5504999756813049,0.5550000071525574,152864000,65.516856495767,0.0015795503722474177,0.011649511528622047,0.5849525293805621,0.47589746802067545,0.5304249987006188,0.537130814659802,61.029998779296875,61.70000076293945,60.90999984741211,61.58000183105469,15444800,65.81924033190734,0.41603179027467013,1.1773586501807676,62.33142623401252,54.524573140377136,58.42799968719483,59.19644896052925,68.30000305175781,68.625,68.00499725341797,68.4375,13459600,64.3579810689981,0.13573432066074398,1.0779548311964828,70.12602989459793,63.199470593683316,66.66275024414062,66.97336501437228,114.41000366210938,114.62000274658203,113.37000274658203,113.66000366210938,3126800,63.005859319420786,0.37534836507580294,2.073190651420511,115.70720549226944,104.4317944466954,110.06949996948242,110.75118650845306
2015-02-27,32.5,32.64250183105469,32.060001373291016,32.1150016784668,248059200,62.81194438769325,-0.014740583653710226,0.6668954303917679,33.76149592710338,28.74775395082631,31.254624938964845,31.3020551131348,44.130001068115234,44.20000076293945,43.65999984741211,43.849998474121094,33807700,49.89188365779958,0.25793582640401597,0.7487152457196907,45.05522048874795,40.83377983168663,42.94450016021729,43.700747690176605,27.907499313354492,28.47100067138672,27.851499557495117,28.131500244140625,68328000,65.87622758868486,0.0775939048228168,0.5318049666067357,27.977161956865004,26.104238723676986,27.040700340270995,27.068545533162467,19.200000762939453,19.29949951171875,18.989500045776367,19.007999420166016,50646000,67.35964721375706,-0.09064454693221125,0.4201137061592918,19.510197124629467,17.95825265869573,18.7342248916626,18.397130879503692,80.68000030517578,81.2300033569336,78.62000274658203,78.97000122070312,30739200,56.62537402416166,0.42393339920357453,1.7379379177758896,80.7436211526443,73.05437918304906,76.89900016784668,77.72467247519968,13.793333053588867,13.903332710266113,13.520000457763672,13.555999755859375,58231500,44.4554895450213,-0.05344589459661264,0.49663394634194175,14.864391331574891,13.178208823301818,14.021300077438354,13.861561416595594,0.5534999966621399,0.5547500252723694,0.5494999885559082,0.5515000224113464,157492000,62.67896976848223,0.0006821415498932358,0.011210262033481128,0.5859197707853078,0.480630227736497,0.5332749992609024,0.5384993106361395,61.130001068115234,61.91999816894531,61.130001068115234,61.279998779296875,15225900,63.45338539707957,0.3851903118781913,1.1496899680842898,62.58502948378624,54.831969951638555,58.7084997177124,59.39488227660236,68.36750030517578,68.54750061035156,67.82749938964844,67.82749938964844,7965200,58.64545333563406,0.0726539921734104,1.052386716161243,69.70690355421891,64.20134687302718,66.95412521362304,67.05471114535095,113.7699966430664,114.25,113.41000366210938,113.62999725341797,4016400,62.87944757669178,0.2680257399866446,1.9851053433112338,116.11648330026514,104.44651642507665,110.2814998626709,111.02535896035448
2015-03-02,32.3125,32.56999969482422,32.07500076293945,32.272499084472656,192386800,63.91882634729063,-0.05787863207473998,0.6546171090698392,33.77666224411329,29.030837450710926,31.403749847412108,31.394478348500307,43.66999816894531,44.189998626708984,43.54999923706055,43.880001068115234,31924000,50.19875841444535,0.22647504486978454,0.7409498274288869,44.91131191407493,41.32568836058327,43.1185001373291,43.71781944045647,28.350000381469727,28.79949951171875,28.157499313354492,28.750999450683594,50406000,70.6410971902259,0.1320672819255015,0.5415331309618349,28.326666421485715,25.942084150718873,27.134375286102294,27.22877923959305,19.042499542236328,19.295000076293945,18.974000930786133,19.283000946044922,42784000,70.24770458129518,-0.09032747088713555,0.4130340946841861,19.47162171788241,18.15247820429777,18.81204996109009,18.48149945726952,79.0,79.86000061035156,78.5199966430664,79.75,21662500,59.48223043840134,0.3858961510823615,1.7095140641694084,81.09895108086396,73.08304888861848,77.09099998474122,77.91756081089494,13.513333320617676,13.555999755859375,13.055333137512207,13.155332565307617,118831500,39.215960957191946,-0.0810929632714255,0.49692199434231504,14.905331350300461,13.095468782451004,14.000400066375732,13.79430152599674,0.550000011920929,0.5680000185966492,0.5492500066757202,0.5649999976158142,301512000,68.37002007457406,0.0008219400624768641,0.011748815596870259,0.5858248104532656,0.48922518890300426,0.5375249996781349,0.5410231855865848,61.279998779296875,61.83000183105469,61.029998779296875,61.77000045776367,13047300,65.62665507628353,0.3731619427154277,1.1247123312038272,62.62887836180771,55.527121012581944,59.077999687194826,59.62108400814154,69.17749786376953,69.57250213623047,68.61000061035156,69.57250213623047,11653600,67.52555882489332,0.1336467174444319,1.101859289762728,69.80080414806804,64.69194640124837,67.2463752746582,67.29450076352995,113.62999725341797,114.8499984741211,113.62999725341797,114.4000015258789,2952200,64.82951077795624,0.2186731150525847,1.930455048839226,116.47904479455164,104.89895508337804,110.68899993896484,111.34675349040442
2015-03-03,32.2400016784668,32.380001068115234,32.022499084472656,32.34000015258789,151265200,64.40778793290984,-0.08764339776894325,0.633394600110749,33.801542240408885,29.274207538338672,31.53787488937378,31.484528044127693,43.560001373291016,43.83000183105469,43.09000015258789,43.279998779296875,31748600,44.34926447988828,0.15970109018897283,0.7444534765787767,44.8007052379443,41.6362950367139,43.2185001373291,43.67612223463175,28.8174991607666,29.042499542236328,28.524999618530273,28.93950080871582,50526000,71.92567868558857,0.16833634311823054,0.5398164733007077,28.65227610930372,25.849424482737298,27.25085029602051,27.391705103319026,19.197500228881836,19.30500030517578,19.079999923706055,19.230499267578125,38930000,68.99261039898974,-0.09639885680383875,0.3996031151688676,19.4874087601507,18.237391158977715,18.862399959564208,18.552832772537005,79.61000061035156,79.69999694824219,78.5199966430664,79.5999984741211,18635000,58.681765563040734,0.3281863567006311,1.6752632993668504,81.34981525045497,73.29318478006262,77.32150001525879,78.07779296929743,13.120667457580566,13.349332809448242,13.021332740783691,13.303999900817871,66484500,41.94988450567307,-0.08437807848613964,0.48485614250818904,14.916072546841557,13.008860886691158,13.962466716766357,13.747606133122563,0.5607500076293945,0.5634999871253967,0.5527499914169312,0.5544999837875366,160344000,60.626429598968066,7.101497013553906e-05,0.011784614925585458,0.5843973206349007,0.4970526767901786,0.5407249987125397,0.5423066901771516,61.650001525878906,61.9900016784668,61.5,61.970001220703125,13706900,66.50224535814178,0.3541981204530149,1.079375856008325,62.757913001863635,56.04808637252601,59.40299968719482,59.844790409337875,69.6624984741211,69.6624984741211,68.375,68.82499694824219,8807200,61.43938311121107,0.1098380483380057,1.1151192315026113,69.60467052491062,65.38707981078274,67.49587516784668,67.44026230493111,113.94999694824219,114.48999786376953,112.36000061035156,112.86000061035156,3163700,58.23979584473924,0.06032457453427709,1.9447080634519935,116.61075965319489,105.32424019421723,110.96749992370606,111.49087226373271
2015-03-04,32.275001525878906,32.38999938964844,32.08000183105469,32.1349983215332,126665200,61.67422206143653,-0.12465647210849529,0.6102948114309633,33.76648500845658,29.55651456429733,31.661499786376954,31.546477594356787,43.0099983215332,43.209999084472656,42.880001068115234,43.060001373291016,25748700,42.39841278870103,0.09818095652448589,0.7198494933361241,44.692632588901006,41.890367975674195,43.2915002822876,43.617444057361205,28.848499298095703,29.081499099731445,28.625999450683594,28.916500091552734,37964000,71.51450288939986,0.17741276674683754,0.5337938429969322,28.9124687576604,25.814381751983156,27.363425254821777,27.536923673626998,19.285499572753906,19.395000457763672,19.109500885009766,19.13599967956543,45182000,66.6831953492513,-0.10861663080917028,0.39145286213922753,19.460418117819827,18.360231792153314,18.91032495498657,18.608372477968285,79.30000305175781,81.1500015258789,78.8499984741211,80.9000015258789,28126700,63.292246394687574,0.3529593358032945,1.7198875673947762,81.80928139547278,73.38371863504479,77.59650001525878,78.34657473659091,13.283332824707031,13.501333236694336,13.147333145141602,13.496000289916992,63330000,45.367469779033726,-0.06926365311865243,0.4755092817256566,14.8425907461604,12.976209417108642,13.909400081634521,13.72364367186489,0.5525000095367432,0.5619999766349792,0.5502499938011169,0.5607500076293945,226840000,63.29156355483077,-0.0001300472719194725,0.01178214120474809,0.5844344530557575,0.5028155471826612,0.5436250001192093,0.5440631966011747,61.63999938964844,62.16999816894531,61.349998474121094,62.130001068115234,16625500,67.22159422420918,0.32852135130608096,1.0608489873523175,62.99168796800253,56.35531139112833,59.67349967956543,60.06242951969762,68.7874984741211,68.7874984741211,68.0625,68.4375,8021200,58.49603591208869,0.05685013957393048,1.089931925555438,69.4602654069321,65.88048471513822,67.67037506103516,67.5352373235091,112.25,113.97000122070312,111.6500015258789,113.81999969482422,3180900,60.90740906864993,0.0013670655184678804,1.9715146085500097,116.84640176124685,105.68959829978832,111.26800003051758,111.71269392383667
2015-03-05,32.14500045776367,32.1875,31.440000534057617,31.602500915527344,226068400,55.12911681181286,-0.18488824455444974,0.6200951438960648,33.68998090794102,29.804268817400775,31.747124862670898,31.551813148753983,43.06999969482422,43.2400016784668,42.81999969482422,43.11000061035156,23193500,43.011965685331646,0.06018558389272244,0.6984318140722995,44.59284546103637,42.11715514931519,43.35500030517578,43.569116110026954,28.981000900268555,29.15999984741211,28.911500930786133,29.071500778198242,35918000,72.6492265575362,0.17992484499949946,0.5134156339704353,29.139569636314036,25.863930920631766,27.5017502784729,27.683073874062355,19.280500411987305,19.42099952697754,19.194499969482422,19.39150047302246,53870000,69.64202048497432,-0.10146259993766515,0.38384907537300483,19.463052678396387,18.47299735517295,18.96802501678467,18.682956096544874,81.2300033569336,81.98999786376953,81.05000305175781,81.20999908447266,27825700,64.31481167637521,0.3641479754061292,1.6748953367159083,82.26574055982867,73.48525965379439,77.87550010681153,78.61928181734154,13.523332595825195,13.746000289916992,13.34333324432373,13.375332832336426,73155000,43.62901107980665,-0.06320494097568924,0.47030626485905697,14.75869903870649,12.940634438313774,13.849666738510132,13.690471210957417,0.5607500076293945,0.5724999904632568,0.559249997138977,0.5715000033378601,323056000,67.38127381820041,0.00031154797875013185,0.011886987784714639,0.5852259611885184,0.508774038573063,0.5469999998807907,0.5466762258141924,62.20000076293945,62.22999954223633,61.599998474121094,62.0,10931300,65.9817707127204,0.28072710822424474,1.0300741359782402,63.05411633876283,56.8548829135565,59.95449962615967,60.24696004163118,68.75,68.78500366210938,68.4375,68.53250122070312,6756000,59.01444316699657,0.019013295394715968,1.0369013353092906,69.48285241335843,66.08889746457125,67.78587493896484,67.63021483752757,114.06999969482422,115.72000122070312,114.06999969482422,114.79000091552734,2941400,63.44812468736348,0.008431776718011541,1.9664065312163594,117.16898802170714,106.05401231398623,111.61150016784669,112.00577078018816
